threshold_lower,threshold_upper,percentage rejected samples,specificity,sensitivity,TP,FP,TN,FN
0.0,0.5,89,0.0,1.0,868,229,0,0
0.025,0.5,67,0.9,0.97,868,229,2140,29
0.05,0.5,51,0.94,0.91,868,229,3582,91
0.07500000000000001,0.5,39,0.95,0.84,868,229,4749,162
0.1,0.5,28,0.96,0.79,868,229,5572,228
0.125,0.5,23,0.96,0.74,868,229,6167,298
0.15000000000000002,0.5,18,0.97,0.72,868,229,6576,345
0.17500000000000002,0.5,15,0.97,0.69,868,229,6838,397
0.2,0.5,12,0.97,0.66,868,229,7051,442
0.225,0.5,10,0.97,0.64,868,229,7219,484
0.25,0.5,8,0.97,0.62,868,229,7346,525
0.275,0.5,7,0.97,0.61,868,229,7461,553
0.30000000000000004,0.5,6,0.97,0.6,868,229,7542,590
0.325,0.5,5,0.97,0.58,868,229,7606,617
0.35000000000000003,0.5,4,0.97,0.57,868,229,7666,650
0.375,0.5,3,0.97,0.56,868,229,7715,678
0.4,0.5,2,0.97,0.55,868,229,7754,703
0.42500000000000004,0.5,2,0.97,0.54,868,229,7778,731
0.45,0.5,1,0.97,0.53,868,229,7813,762
0.47500000000000003,0.5,1,0.97,0.52,868,229,7842,787
0.5,0.5,0,0.97,0.52,868,229,7871,812
0.0,0.525,89,0.0,1.0,826,218,0,0
0.025,0.525,67,0.91,0.97,826,218,2140,29
0.05,0.525,52,0.94,0.9,826,218,3582,91
0.07500000000000001,0.525,39,0.96,0.84,826,218,4749,162
0.1,0.525,30,0.96,0.78,826,218,5572,228
0.125,0.525,23,0.97,0.73,826,218,6167,298
0.15000000000000002,0.525,19,0.97,0.71,826,218,6576,345
0.17500000000000002,0.525,15,0.97,0.68,826,218,6838,397
0.2,0.525,13,0.97,0.65,826,218,7051,442
0.225,0.525,11,0.97,0.63,826,218,7219,484
0.25,0.525,9,0.97,0.61,826,218,7346,525
0.275,0.525,7,0.97,0.6,826,218,7461,553
0.30000000000000004,0.525,6,0.97,0.58,826,218,7542,590
0.325,0.525,5,0.97,0.57,826,218,7606,617
0.35000000000000003,0.525,4,0.97,0.56,826,218,7666,650
0.375,0.525,4,0.97,0.55,826,218,7715,678
0.4,0.525,3,0.97,0.54,826,218,7754,703
0.42500000000000004,0.525,2,0.97,0.53,826,218,7778,731
0.45,0.525,2,0.97,0.52,826,218,7813,762
0.47500000000000003,0.525,1,0.97,0.51,826,218,7842,787
0.5,0.525,1,0.97,0.5,826,218,7871,812
0.0,0.55,90,0.0,1.0,796,194,0,0
0.025,0.55,68,0.92,0.96,796,194,2140,29
0.05,0.55,52,0.95,0.9,796,194,3582,91
0.07500000000000001,0.55,40,0.96,0.83,796,194,4749,162
0.1,0.55,31,0.97,0.78,796,194,5572,228
0.125,0.55,24,0.97,0.73,796,194,6167,298
0.15000000000000002,0.55,19,0.97,0.7,796,194,6576,345
0.17500000000000002,0.55,16,0.97,0.67,796,194,6838,397
0.2,0.55,13,0.97,0.64,796,194,7051,442
0.225,0.55,11,0.97,0.62,796,194,7219,484
0.25,0.55,9,0.97,0.6,796,194,7346,525
0.275,0.55,8,0.97,0.59,796,194,7461,553
0.30000000000000004,0.55,7,0.97,0.57,796,194,7542,590
0.325,0.55,6,0.98,0.56,796,194,7606,617
0.35000000000000003,0.55,5,0.98,0.55,796,194,7666,650
0.375,0.55,4,0.98,0.54,796,194,7715,678
0.4,0.55,3,0.98,0.53,796,194,7754,703
0.42500000000000004,0.55,3,0.98,0.52,796,194,7778,731
0.45,0.55,2,0.98,0.51,796,194,7813,762
0.47500000000000003,0.55,2,0.98,0.5,796,194,7842,787
0.5,0.55,1,0.98,0.5,796,194,7871,812
0.0,0.575,90,0.0,1.0,774,173,0,0
0.025,0.575,68,0.93,0.96,774,173,2140,29
0.05,0.575,53,0.95,0.89,774,173,3582,91
0.07500000000000001,0.575,40,0.96,0.83,774,173,4749,162
0.1,0.575,31,0.97,0.77,774,173,5572,228
0.125,0.575,24,0.97,0.72,774,173,6167,298
0.15000000000000002,0.575,20,0.97,0.69,774,173,6576,345
0.17500000000000002,0.575,16,0.98,0.66,774,173,6838,397
0.2,0.575,14,0.98,0.64,774,173,7051,442
0.225,0.575,12,0.98,0.62,774,173,7219,484
0.25,0.575,10,0.98,0.6,774,173,7346,525
0.275,0.575,8,0.98,0.58,774,173,7461,553
0.30000000000000004,0.575,7,0.98,0.57,774,173,7542,590
0.325,0.575,6,0.98,0.56,774,173,7606,617
0.35000000000000003,0.575,5,0.98,0.54,774,173,7666,650
0.375,0.575,4,0.98,0.53,774,173,7715,678
0.4,0.575,4,0.98,0.52,774,173,7754,703
0.42500000000000004,0.575,3,0.98,0.51,774,173,7778,731
0.45,0.575,3,0.98,0.5,774,173,7813,762
0.47500000000000003,0.575,2,0.98,0.5,774,173,7842,787
0.5,0.575,2,0.98,0.49,774,173,7871,812
0.0,0.6,91,0.0,1.0,752,156,0,0
0.025,0.6,69,0.93,0.96,752,156,2140,29
0.05,0.6,53,0.96,0.89,752,156,3582,91
0.07500000000000001,0.6,41,0.97,0.82,752,156,4749,162
0.1,0.6,31,0.97,0.77,752,156,5572,228
0.125,0.6,25,0.98,0.72,752,156,6167,298
0.15000000000000002,0.6,20,0.98,0.69,752,156,6576,345
0.17500000000000002,0.6,17,0.98,0.65,752,156,6838,397
0.2,0.6,14,0.98,0.63,752,156,7051,442
0.225,0.6,12,0.98,0.61,752,156,7219,484
0.25,0.6,10,0.98,0.59,752,156,7346,525
0.275,0.6,9,0.98,0.58,752,156,7461,553
0.30000000000000004,0.6,8,0.98,0.56,752,156,7542,590
0.325,0.6,7,0.98,0.55,752,156,7606,617
0.35000000000000003,0.6,6,0.98,0.54,752,156,7666,650
0.375,0.6,5,0.98,0.53,752,156,7715,678
0.4,0.6,4,0.98,0.52,752,156,7754,703
0.42500000000000004,0.6,4,0.98,0.51,752,156,7778,731
0.45,0.6,3,0.98,0.5,752,156,7813,762
0.47500000000000003,0.6,2,0.98,0.49,752,156,7842,787
0.5,0.6,2,0.98,0.48,752,156,7871,812
0.0,0.625,91,0.0,1.0,720,135,0,0
0.025,0.625,69,0.94,0.96,720,135,2140,29
0.05,0.625,54,0.96,0.89,720,135,3582,91
0.07500000000000001,0.625,41,0.97,0.82,720,135,4749,162
0.1,0.625,32,0.98,0.76,720,135,5572,228
0.125,0.625,25,0.98,0.71,720,135,6167,298
0.15000000000000002,0.625,20,0.98,0.68,720,135,6576,345
0.17500000000000002,0.625,17,0.98,0.64,720,135,6838,397
0.2,0.625,15,0.98,0.62,720,135,7051,442
0.225,0.625,12,0.98,0.6,720,135,7219,484
0.25,0.625,11,0.98,0.58,720,135,7346,525
0.275,0.625,9,0.98,0.57,720,135,7461,553
0.30000000000000004,0.625,8,0.98,0.55,720,135,7542,590
0.325,0.625,7,0.98,0.54,720,135,7606,617
0.35000000000000003,0.625,6,0.98,0.53,720,135,7666,650
0.375,0.625,5,0.98,0.52,720,135,7715,678
0.4,0.625,5,0.98,0.51,720,135,7754,703
0.42500000000000004,0.625,4,0.98,0.5,720,135,7778,731
0.45,0.625,4,0.98,0.49,720,135,7813,762
0.47500000000000003,0.625,3,0.98,0.48,720,135,7842,787
0.5,0.625,2,0.98,0.47,720,135,7871,812
0.0,0.65,92,0.0,1.0,680,123,0,0
0.025,0.65,70,0.95,0.96,680,123,2140,29
0.05,0.65,54,0.97,0.88,680,123,3582,91
0.07500000000000001,0.65,42,0.97,0.81,680,123,4749,162
