threshold_lower,threshold_upper,percentage rejected samples,specificity,sensitivity,TP,FP,TN,FN
0.0,0.5,89,0.0,1.0,831,245,0,0
0.025,0.5,73,0.86,0.96,831,245,1564,33
0.05,0.5,53,0.93,0.88,831,245,3420,110
0.07500000000000001,0.5,39,0.95,0.81,831,245,4707,189
0.1,0.5,28,0.96,0.76,831,245,5599,265
0.125,0.5,23,0.96,0.72,831,245,6164,319
0.15000000000000002,0.5,18,0.96,0.69,831,245,6598,368
0.17500000000000002,0.5,14,0.97,0.66,831,245,6905,420
0.2,0.5,12,0.97,0.64,831,245,7099,475
0.225,0.5,9,0.97,0.62,831,245,7278,518
0.25,0.5,8,0.97,0.6,831,245,7381,554
0.275,0.5,6,0.97,0.59,831,245,7490,588
0.30000000000000004,0.5,5,0.97,0.57,831,245,7563,618
0.325,0.5,4,0.97,0.56,831,245,7618,656
0.35000000000000003,0.5,4,0.97,0.55,831,245,7667,679
0.375,0.5,3,0.97,0.54,831,245,7719,713
0.4,0.5,2,0.97,0.53,831,245,7758,739
0.42500000000000004,0.5,2,0.97,0.52,831,245,7782,769
0.45,0.5,1,0.97,0.51,831,245,7809,792
0.47500000000000003,0.5,1,0.97,0.5,831,245,7833,818
0.5,0.5,0,0.97,0.49,831,245,7855,849
0.0,0.525,89,0.0,1.0,808,224,0,0
0.025,0.525,73,0.87,0.96,808,224,1564,33
0.05,0.525,53,0.94,0.88,808,224,3420,110
0.07500000000000001,0.525,39,0.95,0.81,808,224,4707,189
0.1,0.525,28,0.96,0.75,808,224,5599,265
0.125,0.525,23,0.96,0.72,808,224,6164,319
0.15000000000000002,0.525,18,0.97,0.69,808,224,6598,368
0.17500000000000002,0.525,15,0.97,0.66,808,224,6905,420
0.2,0.525,12,0.97,0.63,808,224,7099,475
0.225,0.525,10,0.97,0.61,808,224,7278,518
0.25,0.525,8,0.97,0.59,808,224,7381,554
0.275,0.525,7,0.97,0.58,808,224,7490,588
0.30000000000000004,0.525,6,0.97,0.57,808,224,7563,618
0.325,0.525,5,0.97,0.55,808,224,7618,656
0.35000000000000003,0.525,4,0.97,0.54,808,224,7667,679
0.375,0.525,3,0.97,0.53,808,224,7719,713
0.4,0.525,3,0.97,0.52,808,224,7758,739
0.42500000000000004,0.525,2,0.97,0.51,808,224,7782,769
0.45,0.525,2,0.97,0.5,808,224,7809,792
0.47500000000000003,0.525,1,0.97,0.5,808,224,7833,818
0.5,0.525,0,0.97,0.49,808,224,7855,849
0.0,0.55,90,0.0,1.0,792,210,0,0
0.025,0.55,73,0.88,0.96,792,210,1564,33
0.05,0.55,54,0.94,0.88,792,210,3420,110
0.07500000000000001,0.55,40,0.96,0.81,792,210,4707,189
0.1,0.55,30,0.96,0.75,792,210,5599,265
0.125,0.55,23,0.97,0.71,792,210,6164,319
0.15000000000000002,0.55,19,0.97,0.68,792,210,6598,368
0.17500000000000002,0.55,15,0.97,0.65,792,210,6905,420
0.2,0.55,12,0.97,0.63,792,210,7099,475
0.225,0.55,10,0.97,0.6,792,210,7278,518
0.25,0.55,9,0.97,0.59,792,210,7381,554
0.275,0.55,7,0.97,0.57,792,210,7490,588
0.30000000000000004,0.55,6,0.97,0.56,792,210,7563,618
0.325,0.55,5,0.97,0.55,792,210,7618,656
0.35000000000000003,0.55,4,0.97,0.54,792,210,7667,679
0.375,0.55,4,0.97,0.53,792,210,7719,713
0.4,0.55,3,0.97,0.52,792,210,7758,739
0.42500000000000004,0.55,2,0.97,0.51,792,210,7782,769
0.45,0.55,2,0.97,0.5,792,210,7809,792
0.47500000000000003,0.55,1,0.97,0.49,792,210,7833,818
0.5,0.55,1,0.97,0.48,792,210,7855,849
0.0,0.575,90,0.0,1.0,757,192,0,0
0.025,0.575,74,0.89,0.96,757,192,1564,33
0.05,0.575,54,0.95,0.87,757,192,3420,110
0.07500000000000001,0.575,40,0.96,0.8,757,192,4707,189
0.1,0.575,30,0.97,0.74,757,192,5599,265
0.125,0.575,24,0.97,0.7,757,192,6164,319
0.15000000000000002,0.575,19,0.97,0.67,757,192,6598,368
0.17500000000000002,0.575,15,0.97,0.64,757,192,6905,420
0.2,0.575,13,0.97,0.61,757,192,7099,475
0.225,0.575,11,0.97,0.59,757,192,7278,518
0.25,0.575,9,0.97,0.58,757,192,7381,554
0.275,0.575,8,0.98,0.56,757,192,7490,588
0.30000000000000004,0.575,7,0.98,0.55,757,192,7563,618
0.325,0.575,6,0.98,0.54,757,192,7618,656
0.35000000000000003,0.575,5,0.98,0.53,757,192,7667,679
0.375,0.575,4,0.98,0.51,757,192,7719,713
0.4,0.575,3,0.98,0.51,757,192,7758,739
0.42500000000000004,0.575,3,0.98,0.5,757,192,7782,769
0.45,0.575,2,0.98,0.49,757,192,7809,792
0.47500000000000003,0.575,2,0.98,0.48,757,192,7833,818
0.5,0.575,1,0.98,0.47,757,192,7855,849
0.0,0.6,91,0.0,1.0,736,174,0,0
0.025,0.6,74,0.9,0.96,736,174,1564,33
0.05,0.6,55,0.95,0.87,736,174,3420,110
0.07500000000000001,0.6,41,0.96,0.8,736,174,4707,189
0.1,0.6,31,0.97,0.74,736,174,5599,265
0.125,0.6,24,0.97,0.7,736,174,6164,319
0.15000000000000002,0.6,19,0.97,0.67,736,174,6598,368
0.17500000000000002,0.6,16,0.98,0.64,736,174,6905,420
0.2,0.6,13,0.98,0.61,736,174,7099,475
0.225,0.6,11,0.98,0.59,736,174,7278,518
0.25,0.6,10,0.98,0.57,736,174,7381,554
0.275,0.6,8,0.98,0.56,736,174,7490,588
0.30000000000000004,0.6,7,0.98,0.54,736,174,7563,618
0.325,0.6,6,0.98,0.53,736,174,7618,656
0.35000000000000003,0.6,5,0.98,0.52,736,174,7667,679
0.375,0.6,4,0.98,0.51,736,174,7719,713
