threshold_lower,threshold_upper,percentage rejected samples,specificity,sensitivity,TP,FP,TN,FN
0.0,0.5,93,0.0,1.0,486,160,0,0
0.025,0.5,90,0.64,0.98,486,160,287,9
0.05,0.5,80,0.89,0.91,486,160,1291,47
0.07500000000000001,0.5,64,0.95,0.79,486,160,2780,127
0.1,0.5,47,0.96,0.67,486,160,4276,241
0.125,0.5,37,0.97,0.59,486,160,5207,340
0.15000000000000002,0.5,28,0.97,0.53,486,160,5908,428
0.17500000000000002,0.5,23,0.98,0.49,486,160,6362,499
0.2,0.5,19,0.98,0.46,486,160,6704,565
0.225,0.5,15,0.98,0.43,486,160,6988,651
0.25,0.5,13,0.98,0.4,486,160,7171,725
0.275,0.5,10,0.98,0.38,486,160,7334,782
0.30000000000000004,0.5,8,0.98,0.37,486,160,7466,839
0.325,0.5,7,0.98,0.35,486,160,7544,889
0.35000000000000003,0.5,6,0.98,0.34,486,160,7633,935
0.375,0.5,4,0.98,0.33,486,160,7724,989
0.4,0.5,3,0.98,0.32,486,160,7795,1032
0.42500000000000004,0.5,2,0.98,0.31,486,160,7842,1077
0.45,0.5,1,0.98,0.3,486,160,7873,1122
0.47500000000000003,0.5,1,0.98,0.29,486,160,7912,1163
0.5,0.5,0,0.98,0.29,486,160,7940,1194
0.0,0.525,94,0.0,1.0,445,132,0,0
0.025,0.525,91,0.68,0.98,445,132,287,9
0.05,0.525,80,0.91,0.9,445,132,1291,47
0.07500000000000001,0.525,64,0.95,0.78,445,132,2780,127
0.1,0.525,48,0.97,0.65,445,132,4276,241
0.125,0.525,37,0.98,0.57,445,132,5207,340
0.15000000000000002,0.525,28,0.98,0.51,445,132,5908,428
0.17500000000000002,0.525,24,0.98,0.47,445,132,6362,499
0.2,0.525,20,0.98,0.44,445,132,6704,565
0.225,0.525,16,0.98,0.41,445,132,6988,651
0.25,0.525,13,0.98,0.38,445,132,7171,725
0.275,0.525,11,0.98,0.36,445,132,7334,782
0.30000000000000004,0.525,9,0.98,0.35,445,132,7466,839
0.325,0.525,8,0.98,0.33,445,132,7544,889
0.35000000000000003,0.525,6,0.98,0.32,445,132,7633,935
