threshold_lower,threshold_upper,percentage rejected samples,specificity,sensitivity,TP,FP,TN,FN
0.0,0.5,86,0.0,1.0,1205,213,0,0
0.025,0.5,78,0.78,0.99,1205,213,768,15
0.05,0.5,62,0.91,0.94,1205,213,2255,74
0.07500000000000001,0.5,46,0.95,0.88,1205,213,3737,165
0.1,0.5,35,0.96,0.82,1205,213,4783,263
0.125,0.5,27,0.96,0.78,1205,213,5490,343
0.15000000000000002,0.5,21,0.97,0.74,1205,213,6019,416
0.17500000000000002,0.5,16,0.97,0.71,1205,213,6409,485
0.2,0.5,13,0.97,0.69,1205,213,6677,546
0.225,0.5,10,0.97,0.67,1205,213,6893,602
0.25,0.5,8,0.97,0.65,1205,213,7040,652
0.275,0.5,7,0.97,0.63,1205,213,7150,695
0.30000000000000004,0.5,5,0.97,0.62,1205,213,7242,732
0.325,0.5,4,0.97,0.61,1205,213,7322,764
0.35000000000000003,0.5,3,0.97,0.6,1205,213,7375,802
0.375,0.5,3,0.97,0.59,1205,213,7426,835
0.4,0.5,2,0.97,0.58,1205,213,7457,858
0.42500000000000004,0.5,1,0.97,0.58,1205,213,7481,890
0.45,0.5,1,0.97,0.57,1205,213,7504,911
0.47500000000000003,0.5,1,0.97,0.56,1205,213,7520,933
0.5,0.5,0,0.97,0.56,1205,213,7547,965
0.0,0.525,86,0.0,1.0,1182,194,0,0
0.025,0.525,78,0.8,0.99,1182,194,768,15
0.05,0.525,63,0.92,0.94,1182,194,2255,74
0.07500000000000001,0.525,47,0.95,0.88,1182,194,3737,165
0.1,0.525,35,0.96,0.82,1182,194,4783,263
0.125,0.525,27,0.97,0.78,1182,194,5490,343
0.15000000000000002,0.525,21,0.97,0.74,1182,194,6019,416
0.17500000000000002,0.525,17,0.97,0.71,1182,194,6409,485
0.2,0.525,13,0.97,0.68,1182,194,6677,546
0.225,0.525,11,0.97,0.66,1182,194,6893,602
0.25,0.525,9,0.97,0.64,1182,194,7040,652
0.275,0.525,7,0.97,0.63,1182,194,7150,695
0.30000000000000004,0.525,6,0.97,0.62,1182,194,7242,732
0.325,0.525,5,0.97,0.61,1182,194,7322,764
0.35000000000000003,0.525,4,0.97,0.6,1182,194,7375,802
0.375,0.525,3,0.97,0.59,1182,194,7426,835
0.4,0.525,2,0.97,0.58,1182,194,7457,858
0.42500000000000004,0.525,2,0.97,0.57,1182,194,7481,890
0.45,0.525,1,0.97,0.56,1182,194,7504,911
0.47500000000000003,0.525,1,0.97,0.56,1182,194,7520,933
0.5,0.525,0,0.97,0.55,1182,194,7547,965
0.0,0.55,86,0.0,1.0,1165,177,0,0
0.025,0.55,79,0.81,0.99,1165,177,768,15
0.05,0.55,63,0.93,0.94,1165,177,2255,74
0.07500000000000001,0.55,47,0.95,0.88,1165,177,3737,165
0.1,0.55,36,0.96,0.82,1165,177,4783,263
0.125,0.55,28,0.97,0.77,1165,177,5490,343
0.15000000000000002,0.55,22,0.97,0.74,1165,177,6019,416
0.17500000000000002,0.55,17,0.97,0.71,1165,177,6409,485
0.2,0.55,14,0.97,0.68,1165,177,6677,546
0.225,0.55,11,0.97,0.66,1165,177,6893,602
0.25,0.55,9,0.98,0.64,1165,177,7040,652
0.275,0.55,7,0.98,0.63,1165,177,7150,695
0.30000000000000004,0.55,6,0.98,0.61,1165,177,7242,732
0.325,0.55,5,0.98,0.6,1165,177,7322,764
