threshold_lower,threshold_upper,percentage rejected samples,specificity,sensitivity,TP,FP,TN,FN
0.0,0.5,90,0.0,1.0,832,170,0,0
0.025,0.5,88,0.49,1.0,832,170,164,0
0.05,0.5,83,0.8,0.98,832,170,679,15
0.07500000000000001,0.5,72,0.91,0.92,832,170,1698,69
0.1,0.5,57,0.95,0.84,832,170,3007,156
0.125,0.5,47,0.96,0.78,832,170,4037,239
0.15000000000000002,0.5,38,0.97,0.72,832,170,4822,325
0.17500000000000002,0.5,31,0.97,0.67,832,170,5463,412
0.2,0.5,25,0.97,0.62,832,170,5913,519
0.225,0.5,21,0.97,0.58,832,170,6274,601
0.25,0.5,17,0.97,0.55,832,170,6572,680
0.275,0.5,14,0.98,0.53,832,170,6792,741
0.30000000000000004,0.5,12,0.98,0.51,832,170,6973,808
0.325,0.5,9,0.98,0.49,832,170,7117,879
0.35000000000000003,0.5,7,0.98,0.47,832,170,7237,950
0.375,0.5,6,0.98,0.45,832,170,7330,1013
0.4,0.5,4,0.98,0.44,832,170,7408,1078
0.42500000000000004,0.5,3,0.98,0.42,832,170,7467,1137
0.45,0.5,2,0.98,0.41,832,170,7513,1214
0.47500000000000003,0.5,1,0.98,0.39,832,170,7554,1276
0.5,0.5,0,0.98,0.38,832,170,7590,1338
0.0,0.525,91,0.0,1.0,785,141,0,0
0.025,0.525,89,0.54,1.0,785,141,164,0
0.05,0.525,84,0.83,0.98,785,141,679,15
0.07500000000000001,0.525,73,0.92,0.92,785,141,1698,69
0.1,0.525,59,0.96,0.83,785,141,3007,156
0.125,0.525,48,0.97,0.77,785,141,4037,239
0.15000000000000002,0.525,39,0.97,0.71,785,141,4822,325
0.17500000000000002,0.525,32,0.97,0.66,785,141,5463,412
0.2,0.525,26,0.98,0.6,785,141,5913,519
0.225,0.525,21,0.98,0.57,785,141,6274,601
0.25,0.525,18,0.98,0.54,785,141,6572,680
0.275,0.525,15,0.98,0.51,785,141,6792,741
0.30000000000000004,0.525,12,0.98,0.49,785,141,6973,808
0.325,0.525,10,0.98,0.47,785,141,7117,879
0.35000000000000003,0.525,8,0.98,0.45,785,141,7237,950
0.375,0.525,7,0.98,0.44,785,141,7330,1013
0.4,0.525,5,0.98,0.42,785,141,7408,1078
0.42500000000000004,0.525,4,0.98,0.41,785,141,7467,1137
0.45,0.525,3,0.98,0.39,785,141,7513,1214
0.47500000000000003,0.525,2,0.98,0.38,785,141,7554,1276
0.5,0.525,1,0.98,0.37,785,141,7590,1338
0.0,0.55,91,0.0,1.0,743,119,0,0
0.025,0.55,90,0.58,1.0,743,119,164,0
0.05,0.55,84,0.85,0.98,743,119,679,15
0.07500000000000001,0.55,74,0.93,0.92,743,119,1698,69
0.1,0.55,59,0.96,0.83,743,119,3007,156
0.125,0.55,48,0.97,0.76,743,119,4037,239
0.15000000000000002,0.55,39,0.98,0.7,743,119,4822,325
0.17500000000000002,0.55,32,0.98,0.64,743,119,5463,412
0.2,0.55,27,0.98,0.59,743,119,5913,519
0.225,0.55,22,0.98,0.55,743,119,6274,601
0.25,0.55,18,0.98,0.52,743,119,6572,680
0.275,0.55,15,0.98,0.5,743,119,6792,741
0.30000000000000004,0.55,13,0.98,0.48,743,119,6973,808
0.325,0.55,11,0.98,0.46,743,119,7117,879
0.35000000000000003,0.55,9,0.98,0.44,743,119,7237,950
0.375,0.55,7,0.98,0.42,743,119,7330,1013
0.4,0.55,6,0.98,0.41,743,119,7408,1078
0.42500000000000004,0.55,5,0.98,0.4,743,119,7467,1137
0.45,0.55,3,0.98,0.38,743,119,7513,1214
0.47500000000000003,0.55,2,0.98,0.37,743,119,7554,1276
0.5,0.55,1,0.98,0.36,743,119,7590,1338
0.0,0.575,92,0.0,1.0,693,109,0,0
0.025,0.575,90,0.6,1.0,693,109,164,0
0.05,0.575,85,0.86,0.98,693,109,679,15
0.07500000000000001,0.575,74,0.94,0.91,693,109,1698,69
