threshold_lower,threshold_upper,percentage rejected samples,specificity,sensitivity,TP,FP,TN,FN
0.0,0.5,88,0.0,1.0,766,151,0,0
0.025,0.5,76,0.85,0.98,766,151,876,17
0.05,0.5,56,0.94,0.93,766,151,2254,59
0.07500000000000001,0.5,42,0.96,0.86,766,151,3321,122
0.1,0.5,33,0.96,0.81,766,151,3976,174
0.125,0.5,27,0.97,0.78,766,151,4426,218
0.15000000000000002,0.5,22,0.97,0.74,766,151,4749,273
0.17500000000000002,0.5,18,0.97,0.71,766,151,5014,316
0.2,0.5,15,0.97,0.69,766,151,5192,344
0.225,0.5,12,0.97,0.67,766,151,5374,378
0.25,0.5,10,0.97,0.65,766,151,5499,404
0.275,0.5,9,0.97,0.64,766,151,5581,436
0.30000000000000004,0.5,7,0.97,0.62,766,151,5661,473
0.325,0.5,6,0.97,0.61,766,151,5723,500
0.35000000000000003,0.5,5,0.97,0.59,766,151,5776,534
0.375,0.5,4,0.97,0.58,766,151,5820,558
0.4,0.5,3,0.97,0.57,766,151,5863,577
0.42500000000000004,0.5,2,0.98,0.56,766,151,5895,600
0.45,0.5,1,0.98,0.55,766,151,5939,624
0.47500000000000003,0.5,1,0.98,0.54,766,151,5964,656
0.5,0.5,0,0.98,0.53,766,151,5979,684
0.0,0.525,89,0.0,1.0,737,131,0,0
0.025,0.525,77,0.87,0.98,737,131,876,17
0.05,0.525,57,0.95,0.93,737,131,2254,59
0.07500000000000001,0.525,43,0.96,0.86,737,131,3321,122
0.1,0.525,34,0.97,0.81,737,131,3976,174
0.125,0.525,27,0.97,0.77,737,131,4426,218
0.15000000000000002,0.525,22,0.97,0.73,737,131,4749,273
0.17500000000000002,0.525,18,0.97,0.7,737,131,5014,316
0.2,0.525,16,0.98,0.68,737,131,5192,344
0.225,0.525,13,0.98,0.66,737,131,5374,378
0.25,0.525,11,0.98,0.65,737,131,5499,404
0.275,0.525,9,0.98,0.63,737,131,5581,436
0.30000000000000004,0.525,8,0.98,0.61,737,131,5661,473
0.325,0.525,6,0.98,0.6,737,131,5723,500
0.35000000000000003,0.525,5,0.98,0.58,737,131,5776,534
0.375,0.525,4,0.98,0.57,737,131,5820,558
0.4,0.525,4,0.98,0.56,737,131,5863,577
0.42500000000000004,0.525,3,0.98,0.55,737,131,5895,600
0.45,0.525,2,0.98,0.54,737,131,5939,624
0.47500000000000003,0.525,1,0.98,0.53,737,131,5964,656
0.5,0.525,1,0.98,0.52,737,131,5979,684
0.0,0.55,89,0.0,1.0,708,111,0,0
0.025,0.55,77,0.89,0.98,708,111,876,17
0.05,0.55,59,0.95,0.92,708,111,2254,59
0.07500000000000001,0.55,44,0.97,0.85,708,111,3321,122
0.1,0.55,34,0.97,0.8,708,111,3976,174
0.125,0.55,28,0.98,0.76,708,111,4426,218
0.15000000000000002,0.55,23,0.98,0.72,708,111,4749,273
0.17500000000000002,0.55,19,0.98,0.69,708,111,5014,316
0.2,0.55,16,0.98,0.67,708,111,5192,344
0.225,0.55,13,0.98,0.65,708,111,5374,378
0.25,0.55,11,0.98,0.64,708,111,5499,404
0.275,0.55,10,0.98,0.62,708,111,5581,436
0.30000000000000004,0.55,8,0.98,0.6,708,111,5661,473
0.325,0.55,7,0.98,0.59,708,111,5723,500
0.35000000000000003,0.55,6,0.98,0.57,708,111,5776,534
0.375,0.55,5,0.98,0.56,708,111,5820,558
0.4,0.55,4,0.98,0.55,708,111,5863,577
0.42500000000000004,0.55,4,0.98,0.54,708,111,5895,600
0.45,0.55,3,0.98,0.53,708,111,5939,624
0.47500000000000003,0.55,2,0.98,0.52,708,111,5964,656
0.5,0.55,1,0.98,0.51,708,111,5979,684
0.0,0.575,90,0.0,1.0,670,94,0,0
0.025,0.575,78,0.9,0.98,670,94,876,17
0.05,0.575,59,0.96,0.92,670,94,2254,59
0.07500000000000001,0.575,44,0.97,0.85,670,94,3321,122
0.1,0.575,35,0.98,0.79,670,94,3976,174
0.125,0.575,28,0.98,0.75,670,94,4426,218
