threshold_lower,threshold_upper,percentage rejected samples,specificity,sensitivity,TP,FP,TN,FN
0.0,0.5,89,0.0,1.0,767,288,0,0
0.025,0.5,70,0.86,0.97,767,288,1810,23
0.05,0.5,54,0.92,0.9,767,288,3365,85
0.07500000000000001,0.5,43,0.94,0.83,767,288,4406,161
0.1,0.5,34,0.95,0.76,767,288,5143,239
0.125,0.5,27,0.95,0.7,767,288,5764,321
0.15000000000000002,0.5,22,0.96,0.66,767,288,6231,391
0.17500000000000002,0.5,17,0.96,0.63,767,288,6576,453
0.2,0.5,14,0.96,0.6,767,288,6826,501
0.225,0.5,12,0.96,0.58,767,288,7017,548
0.25,0.5,10,0.96,0.56,767,288,7161,602
0.275,0.5,8,0.96,0.54,767,288,7285,641
0.30000000000000004,0.5,7,0.96,0.53,767,288,7380,667
0.325,0.5,6,0.96,0.52,767,288,7450,701
0.35000000000000003,0.5,5,0.96,0.51,767,288,7538,728
0.375,0.5,4,0.96,0.5,767,288,7597,763
0.4,0.5,3,0.96,0.49,767,288,7641,793
0.42500000000000004,0.5,2,0.96,0.48,767,288,7692,827
0.45,0.5,1,0.96,0.47,767,288,7752,856
0.47500000000000003,0.5,1,0.96,0.47,767,288,7792,881
0.5,0.5,0,0.96,0.46,767,288,7812,913
0.0,0.525,90,0.0,1.0,737,252,0,0
0.025,0.525,71,0.88,0.97,737,252,1810,23
0.05,0.525,55,0.93,0.9,737,252,3365,85
0.07500000000000001,0.525,43,0.95,0.82,737,252,4406,161
0.1,0.525,35,0.95,0.76,737,252,5143,239
0.125,0.525,28,0.96,0.7,737,252,5764,321
0.15000000000000002,0.525,22,0.96,0.65,737,252,6231,391
0.17500000000000002,0.525,18,0.96,0.62,737,252,6576,453
0.2,0.525,15,0.96,0.6,737,252,6826,501
0.225,0.525,13,0.97,0.57,737,252,7017,548
0.25,0.525,11,0.97,0.55,737,252,7161,602
0.275,0.525,9,0.97,0.53,737,252,7285,641
0.30000000000000004,0.525,8,0.97,0.52,737,252,7380,667
0.325,0.525,7,0.97,0.51,737,252,7450,701
0.35000000000000003,0.525,5,0.97,0.5,737,252,7538,728
0.375,0.525,4,0.97,0.49,737,252,7597,763
0.4,0.525,4,0.97,0.48,737,252,7641,793
0.42500000000000004,0.525,3,0.97,0.47,737,252,7692,827
0.45,0.525,2,0.97,0.46,737,252,7752,856
0.47500000000000003,0.525,1,0.97,0.46,737,252,7792,881
0.5,0.525,1,0.97,0.45,737,252,7812,913
0.0,0.55,90,0.0,1.0,699,232,0,0
0.025,0.55,72,0.89,0.97,699,232,1810,23
0.05,0.55,55,0.94,0.89,699,232,3365,85
0.07500000000000001,0.55,44,0.95,0.81,699,232,4406,161
0.1,0.55,35,0.96,0.75,699,232,5143,239
0.125,0.55,28,0.96,0.69,699,232,5764,321
0.15000000000000002,0.55,23,0.96,0.64,699,232,6231,391
0.17500000000000002,0.55,19,0.97,0.61,699,232,6576,453
0.2,0.55,16,0.97,0.58,699,232,6826,501
0.225,0.55,13,0.97,0.56,699,232,7017,548
0.25,0.55,11,0.97,0.54,699,232,7161,602
0.275,0.55,9,0.97,0.52,699,232,7285,641
0.30000000000000004,0.55,8,0.97,0.51,699,232,7380,667
0.325,0.55,7,0.97,0.5,699,232,7450,701
0.35000000000000003,0.55,6,0.97,0.49,699,232,7538,728
0.375,0.55,5,0.97,0.48,699,232,7597,763
0.4,0.55,4,0.97,0.47,699,232,7641,793
0.42500000000000004,0.55,3,0.97,0.46,699,232,7692,827
0.45,0.55,2,0.97,0.45,699,232,7752,856
0.47500000000000003,0.55,2,0.97,0.44,699,232,7792,881
0.5,0.55,1,0.97,0.43,699,232,7812,913
0.0,0.575,91,0.0,1.0,668,208,0,0
0.025,0.575,72,0.9,0.97,668,208,1810,23
0.05,0.575,56,0.94,0.89,668,208,3365,85
0.07500000000000001,0.575,44,0.95,0.81,668,208,4406,161
0.1,0.575,36,0.96,0.74,668,208,5143,239
0.125,0.575,28,0.97,0.68,668,208,5764,321
0.15000000000000002,0.575,23,0.97,0.63,668,208,6231,391
0.17500000000000002,0.575,19,0.97,0.6,668,208,6576,453
0.2,0.575,16,0.97,0.57,668,208,6826,501
0.225,0.575,14,0.97,0.55,668,208,7017,548
0.25,0.575,12,0.97,0.53,668,208,7161,602
0.275,0.575,10,0.97,0.51,668,208,7285,641
0.30000000000000004,0.575,9,0.97,0.5,668,208,7380,667
0.325,0.575,8,0.97,0.49,668,208,7450,701
0.35000000000000003,0.575,7,0.97,0.48,668,208,7538,728
0.375,0.575,6,0.97,0.47,668,208,7597,763
0.4,0.575,5,0.97,0.46,668,208,7641,793
0.42500000000000004,0.575,4,0.97,0.45,668,208,7692,827
0.45,0.575,3,0.97,0.44,668,208,7752,856
0.47500000000000003,0.575,2,0.97,0.43,668,208,7792,881
0.5,0.575,2,0.97,0.42,668,208,7812,913
0.0,0.6,91,0.0,1.0,647,185,0,0
0.025,0.6,73,0.91,0.97,647,185,1810,23
0.05,0.6,56,0.95,0.88,647,185,3365,85
0.07500000000000001,0.6,45,0.96,0.8,647,185,4406,161
0.1,0.6,36,0.97,0.73,647,185,5143,239
0.125,0.6,28,0.97,0.67,647,185,5764,321
0.15000000000000002,0.6,24,0.97,0.62,647,185,6231,391
0.17500000000000002,0.6,20,0.97,0.59,647,185,6576,453
0.2,0.6,17,0.97,0.56,647,185,6826,501
0.225,0.6,14,0.97,0.54,647,185,7017,548
0.25,0.6,12,0.97,0.52,647,185,7161,602
0.275,0.6,10,0.98,0.5,647,185,7285,641
0.30000000000000004,0.6,9,0.98,0.49,647,185,7380,667
0.325,0.6,8,0.98,0.48,647,185,7450,701
0.35000000000000003,0.6,7,0.98,0.47,647,185,7538,728
0.375,0.6,6,0.98,0.46,647,185,7597,763
0.4,0.6,5,0.98,0.45,647,185,7641,793
0.42500000000000004,0.6,4,0.98,0.44,647,185,7692,827
0.45,0.6,3,0.98,0.43,647,185,7752,856
0.47500000000000003,0.6,3,0.98,0.42,647,185,7792,881
0.5,0.6,2,0.98,0.41,647,185,7812,913
0.0,0.625,92,0.0,1.0,611,163,0,0
0.025,0.625,73,0.92,0.96,611,163,1810,23
0.05,0.625,56,0.95,0.88,611,163,3365,85
0.07500000000000001,0.625,45,0.96,0.79,611,163,4406,161
0.1,0.625,37,0.97,0.72,611,163,5143,239
0.125,0.625,30,0.97,0.66,611,163,5764,321
0.15000000000000002,0.625,24,0.97,0.61,611,163,6231,391
0.17500000000000002,0.625,20,0.98,0.57,611,163,6576,453
0.2,0.625,17,0.98,0.55,611,163,6826,501
0.225,0.625,15,0.98,0.53,611,163,7017,548
0.25,0.625,13,0.98,0.5,611,163,7161,602
0.275,0.625,11,0.98,0.49,611,163,7285,641
0.30000000000000004,0.625,10,0.98,0.48,611,163,7380,667
0.325,0.625,9,0.98,0.47,611,163,7450,701
