threshold_lower,threshold_upper,percentage rejected samples,specificity,sensitivity,TP,FP,TN,FN
0.0,0.5,0.93395,0.0,1.0,486,160,0,0
0.025,0.5,0.90368,0.64206,0.98182,486,160,287,9
0.05,0.5,0.79714,0.88973,0.91182,486,160,1291,47
0.07500000000000001,0.5,0.63671,0.94558,0.79282,486,160,2780,127
0.1,0.5,0.47209,0.96393,0.6685,486,160,4276,241
0.125,0.5,0.36677,0.97019,0.58838,486,160,5207,340
0.15000000000000002,0.5,0.28609,0.97363,0.53173,486,160,5908,428
0.17500000000000002,0.5,0.23241,0.97547,0.4934,486,160,6362,499
0.2,0.5,0.1907,0.97669,0.46242,486,160,6704,565
0.225,0.5,0.15286,0.97762,0.42744,486,160,6988,651
0.25,0.5,0.12658,0.97817,0.40132,486,160,7171,725
0.275,0.5,0.10409,0.97865,0.38328,486,160,7334,782
0.30000000000000004,0.5,0.08476,0.97902,0.36679,486,160,7466,839
0.325,0.5,0.07168,0.97923,0.35345,486,160,7544,889
0.35000000000000003,0.5,0.05787,0.97947,0.34201,486,160,7633,935
0.375,0.5,0.04305,0.97971,0.32949,486,160,7724,989
0.4,0.5,0.03139,0.97989,0.32016,486,160,7795,1032
0.42500000000000004,0.5,0.02198,0.98,0.31094,486,160,7842,1077
0.45,0.5,0.01421,0.98008,0.30224,486,160,7873,1122
0.47500000000000003,0.5,0.00603,0.98018,0.29472,486,160,7912,1163
0.5,0.5,0.0,0.98025,0.28929,486,160,7940,1194
0.0,0.525,0.941,0.0,1.0,445,132,0,0
0.025,0.525,0.91074,0.68496,0.98018,445,132,287,9
0.05,0.525,0.80419,0.90724,0.90447,445,132,1291,47
0.07500000000000001,0.525,0.64376,0.95467,0.77797,445,132,2780,127
0.1,0.525,0.47914,0.97005,0.64869,445,132,4276,241
0.125,0.525,0.37382,0.97528,0.56688,445,132,5207,340
0.15000000000000002,0.525,0.29315,0.97815,0.50974,445,132,5908,428
0.17500000000000002,0.525,0.23947,0.97967,0.4714,445,132,6362,499
0.2,0.525,0.19775,0.98069,0.44059,445,132,6704,565
0.225,0.525,0.15992,0.98146,0.40602,445,132,6988,651
0.25,0.525,0.13364,0.98193,0.38034,445,132,7171,725
0.275,0.525,0.11115,0.98232,0.36267,445,132,7334,782
0.30000000000000004,0.525,0.09182,0.98263,0.34657,445,132,7466,839
0.325,0.525,0.07873,0.9828,0.33358,445,132,7544,889
0.35000000000000003,0.525,0.06493,0.983,0.32246,445,132,7633,935
0.375,0.525,0.0501,0.9832,0.31032,445,132,7724,989
0.4,0.525,0.03845,0.98335,0.30129,445,132,7795,1032
0.42500000000000004,0.525,0.02904,0.98345,0.29238,445,132,7842,1077
0.45,0.525,0.02127,0.98351,0.28398,445,132,7873,1122
0.47500000000000003,0.525,0.01309,0.98359,0.27674,445,132,7912,1163
0.5,0.525,0.00706,0.98365,0.27151,445,132,7940,1194
0.0,0.55,0.94652,0.0,1.0,418,105,0,0
0.025,0.55,0.91626,0.73214,0.97892,418,105,287,9
0.05,0.55,0.80971,0.92479,0.89892,418,105,1291,47
0.07500000000000001,0.55,0.64928,0.9636,0.76697,418,105,2780,127
0.1,0.55,0.48466,0.97603,0.63429,418,105,4276,241
0.125,0.55,0.37935,0.98023,0.55145,418,105,5207,340
0.15000000000000002,0.55,0.29867,0.98254,0.49409,418,105,5908,428
0.17500000000000002,0.55,0.24499,0.98376,0.45583,418,105,6362,499
0.2,0.55,0.20327,0.98458,0.42523,418,105,6704,565
0.225,0.55,0.16544,0.9852,0.39102,418,105,6988,651
0.25,0.55,0.13916,0.98557,0.3657,418,105,7171,725
0.275,0.55,0.11667,0.98589,0.34833,418,105,7334,782
0.30000000000000004,0.55,0.09734,0.98613,0.33254,418,105,7466,839
0.325,0.55,0.08425,0.98627,0.31982,418,105,7544,889
0.35000000000000003,0.55,0.07045,0.98643,0.30894,418,105,7633,935
0.375,0.55,0.05562,0.98659,0.29709,418,105,7724,989
0.4,0.55,0.04397,0.98671,0.28828,418,105,7795,1032
0.42500000000000004,0.55,0.03456,0.98679,0.2796,418,105,7842,1077
0.45,0.55,0.02679,0.98684,0.27143,418,105,7873,1122
0.47500000000000003,0.55,0.01861,0.9869,0.26439,418,105,7912,1163
0.5,0.55,0.01258,0.98695,0.25931,418,105,7940,1194
0.0,0.575,0.95215,0.0,1.0,377,91,0,0
0.025,0.575,0.92188,0.75926,0.97668,377,91,287,9
0.05,0.575,0.81534,0.93415,0.88915,377,91,1291,47
0.07500000000000001,0.575,0.65491,0.9683,0.74802,377,91,2780,127
0.1,0.575,0.49029,0.97916,0.61003,377,91,4276,241
0.125,0.575,0.38497,0.98282,0.5258,377,91,5207,340
0.15000000000000002,0.575,0.30429,0.98483,0.46832,377,91,5908,428
0.17500000000000002,0.575,0.25061,0.9859,0.43037,377,91,6362,499
0.2,0.575,0.2089,0.98661,0.40021,377,91,6704,565
0.225,0.575,0.17106,0.98715,0.36673,377,91,6988,651
0.25,0.575,0.14479,0.98747,0.34211,377,91,7171,725
0.275,0.575,0.12229,0.98774,0.32528,377,91,7334,782
0.30000000000000004,0.575,0.10297,0.98796,0.31003,377,91,7466,839
0.325,0.575,0.08988,0.98808,0.29779,377,91,7544,889
0.35000000000000003,0.575,0.07607,0.98822,0.28735,377,91,7633,935
0.375,0.575,0.06125,0.98836,0.27599,377,91,7724,989
0.4,0.575,0.04959,0.98846,0.26757,377,91,7795,1032
0.42500000000000004,0.575,0.04018,0.98853,0.25928,377,91,7842,1077
0.45,0.575,0.03241,0.98857,0.2515,377,91,7873,1122
0.47500000000000003,0.575,0.02423,0.98863,0.24481,377,91,7912,1163
0.5,0.575,0.0182,0.98867,0.23997,377,91,7940,1194
0.0,0.6,0.95675,0.0,1.0,348,75,0,0
0.025,0.6,0.92648,0.79282,0.97479,348,75,287,9
0.05,0.6,0.81994,0.9451,0.88101,348,75,1291,47
0.07500000000000001,0.6,0.65951,0.97373,0.73263,348,75,2780,127
0.1,0.6,0.49489,0.98276,0.59083,348,75,4276,241
0.125,0.6,0.38957,0.9858,0.50581,348,75,5207,340
0.15000000000000002,0.6,0.3089,0.98746,0.44845,348,75,5908,428
0.17500000000000002,0.6,0.25521,0.98835,0.41086,348,75,6362,499
0.2,0.6,0.2135,0.98894,0.38116,348,75,6704,565
0.225,0.6,0.17566,0.98938,0.34835,348,75,6988,651
0.25,0.6,0.14939,0.98965,0.32432,348,75,7171,725
0.275,0.6,0.12689,0.98988,0.30796,348,75,7334,782
0.30000000000000004,0.6,0.10757,0.99005,0.29318,348,75,7466,839
0.325,0.6,0.09448,0.99016,0.28133,348,75,7544,889
0.35000000000000003,0.6,0.08067,0.99027,0.27124,348,75,7633,935
0.375,0.6,0.06585,0.99038,0.26028,348,75,7724,989
0.4,0.6,0.05419,0.99047,0.25217,348,75,7795,1032
0.42500000000000004,0.6,0.04479,0.99053,0.24421,348,75,7842,1077
0.45,0.6,0.03701,0.99056,0.23673,348,75,7873,1122
0.47500000000000003,0.6,0.02883,0.99061,0.23031,348,75,7912,1163
0.5,0.6,0.0228,0.99064,0.22568,348,75,7940,1194
0.0,0.625,0.96125,0.0,1.0,309,70,0,0
0.025,0.625,0.93098,0.80392,0.9717,309,70,287,9
0.05,0.625,0.82444,0.94857,0.86798,309,70,1291,47
0.07500000000000001,0.625,0.66401,0.97544,0.70872,309,70,2780,127
0.1,0.625,0.49939,0.98389,0.56182,309,70,4276,241
0.125,0.625,0.39407,0.98673,0.47612,309,70,5207,340
0.15000000000000002,0.625,0.31339,0.98829,0.41927,309,70,5908,428
0.17500000000000002,0.625,0.25971,0.98912,0.38243,309,70,6362,499
0.2,0.625,0.218,0.98967,0.35355,309,70,6704,565
0.225,0.625,0.18016,0.99008,0.32188,309,70,6988,651
0.25,0.625,0.15389,0.99033,0.29884,309,70,7171,725
0.275,0.625,0.13139,0.99055,0.28323,309,70,7334,782
0.30000000000000004,0.625,0.11207,0.99071,0.26916,309,70,7466,839
0.325,0.625,0.09898,0.99081,0.25793,309,70,7544,889
0.35000000000000003,0.625,0.08517,0.99091,0.24839,309,70,7633,935
0.375,0.625,0.07035,0.99102,0.23806,309,70,7724,989
0.4,0.625,0.05869,0.9911,0.23043,309,70,7795,1032
0.42500000000000004,0.625,0.04928,0.99115,0.22294,309,70,7842,1077
0.45,0.625,0.04151,0.99119,0.21593,309,70,7873,1122
0.47500000000000003,0.625,0.03333,0.99123,0.20992,309,70,7912,1163
0.5,0.625,0.0273,0.99126,0.20559,309,70,7940,1194
0.0,0.65,0.96544,0.0,1.0,275,63,0,0
0.025,0.65,0.93517,0.82,0.96831,275,63,287,9
0.05,0.65,0.82863,0.95347,0.85404,275,63,1291,47
0.07500000000000001,0.65,0.6682,0.97784,0.68408,275,63,2780,127
0.1,0.65,0.50358,0.98548,0.53295,275,63,4276,241
0.125,0.65,0.39826,0.98805,0.44715,275,63,5207,340
0.15000000000000002,0.65,0.31759,0.98945,0.39118,275,63,5908,428
0.17500000000000002,0.65,0.26391,0.99019,0.3553,275,63,6362,499
0.2,0.65,0.22219,0.99069,0.32738,275,63,6704,565
0.225,0.65,0.18436,0.99107,0.29698,275,63,6988,651
0.25,0.65,0.15808,0.99129,0.275,275,63,7171,725
0.275,0.65,0.13558,0.99148,0.26017,275,63,7334,782
0.30000000000000004,0.65,0.11626,0.99163,0.24686,275,63,7466,839
0.325,0.65,0.10317,0.99172,0.23625,275,63,7544,889
0.35000000000000003,0.65,0.08937,0.99181,0.22727,275,63,7633,935
0.375,0.65,0.07454,0.99191,0.21756,275,63,7724,989
0.4,0.65,0.06288,0.99198,0.21041,275,63,7795,1032
0.42500000000000004,0.65,0.05348,0.99203,0.2034,275,63,7842,1077
0.45,0.65,0.04571,0.99206,0.19685,275,63,7873,1122
0.47500000000000003,0.65,0.03753,0.9921,0.19124,275,63,7912,1163
0.5,0.65,0.03149,0.99213,0.1872,275,63,7940,1194
0.0,0.675,0.96902,0.0,1.0,250,53,0,0
0.025,0.675,0.93875,0.84412,0.96525,250,53,287,9
0.05,0.675,0.83221,0.96057,0.84175,250,53,1291,47
0.07500000000000001,0.675,0.67178,0.98129,0.66313,250,53,2780,127
0.1,0.675,0.50716,0.98776,0.50916,250,53,4276,241
0.125,0.675,0.40184,0.98992,0.42373,250,53,5207,340
0.15000000000000002,0.675,0.32117,0.99111,0.36873,250,53,5908,428
0.17500000000000002,0.675,0.26748,0.99174,0.33378,250,53,6362,499
0.2,0.675,0.22577,0.99216,0.30675,250,53,6704,565
0.225,0.675,0.18793,0.99247,0.27747,250,53,6988,651
0.25,0.675,0.16166,0.99266,0.25641,250,53,7171,725
0.275,0.675,0.13916,0.99283,0.24225,250,53,7334,782
0.30000000000000004,0.675,0.11984,0.99295,0.22957,250,53,7466,839
0.325,0.675,0.10675,0.99302,0.21949,250,53,7544,889
0.35000000000000003,0.675,0.09294,0.9931,0.21097,250,53,7633,935
0.375,0.675,0.07812,0.99319,0.20178,250,53,7724,989
0.4,0.675,0.06646,0.99325,0.19501,250,53,7795,1032
0.42500000000000004,0.675,0.05706,0.99329,0.18839,250,53,7842,1077
0.45,0.675,0.04928,0.99331,0.18222,250,53,7873,1122
0.47500000000000003,0.675,0.0411,0.99335,0.17693,250,53,7912,1163
0.5,0.675,0.03507,0.99337,0.17313,250,53,7940,1194
0.0,0.7,0.97249,0.0,1.0,223,46,0,0
0.025,0.7,0.94223,0.86186,0.96121,223,46,287,9
0.05,0.7,0.83569,0.96559,0.82593,223,46,1291,47
0.07500000000000001,0.7,0.67526,0.98372,0.63714,223,46,2780,127
0.1,0.7,0.51063,0.98936,0.4806,223,46,4276,241
0.125,0.7,0.40532,0.99124,0.39609,223,46,5207,340
0.15000000000000002,0.7,0.32464,0.99227,0.34255,223,46,5908,428
0.17500000000000002,0.7,0.27096,0.99282,0.30886,223,46,6362,499
0.2,0.7,0.22924,0.99319,0.28299,223,46,6704,565
0.225,0.7,0.19141,0.99346,0.25515,223,46,6988,651
0.25,0.7,0.16513,0.99363,0.23523,223,46,7171,725
0.275,0.7,0.14264,0.99377,0.22189,223,46,7334,782
0.30000000000000004,0.7,0.12331,0.99388,0.20998,223,46,7466,839
0.325,0.7,0.11022,0.99394,0.20054,223,46,7544,889
0.35000000000000003,0.7,0.09642,0.99401,0.19257,223,46,7633,935
0.375,0.7,0.0816,0.99408,0.18399,223,46,7724,989
0.4,0.7,0.06994,0.99413,0.17769,223,46,7795,1032
0.42500000000000004,0.7,0.06053,0.99417,0.17154,223,46,7842,1077
0.45,0.7,0.05276,0.99419,0.1658,223,46,7873,1122
0.47500000000000003,0.7,0.04458,0.99422,0.16089,223,46,7912,1163
0.5,0.7,0.03855,0.99424,0.15737,223,46,7940,1194
0.0,0.725,0.97546,0.0,1.0,204,36,0,0
0.025,0.725,0.94519,0.88854,0.95775,204,36,287,9
0.05,0.725,0.83865,0.97287,0.81275,204,36,1291,47
0.07500000000000001,0.725,0.67822,0.98722,0.61631,204,36,2780,127
0.1,0.725,0.5136,0.99165,0.45843,204,36,4276,241
0.125,0.725,0.40828,0.99313,0.375,204,36,5207,340
0.15000000000000002,0.725,0.32761,0.99394,0.32278,204,36,5908,428
0.17500000000000002,0.725,0.27393,0.99437,0.29018,204,36,6362,499
0.2,0.725,0.23221,0.99466,0.26528,204,36,6704,565
0.225,0.725,0.19438,0.99487,0.2386,204,36,6988,651
0.25,0.725,0.1681,0.995,0.21959,204,36,7171,725
0.275,0.725,0.1456,0.99512,0.2069,204,36,7334,782
0.30000000000000004,0.725,0.12628,0.9952,0.19559,204,36,7466,839
0.325,0.725,0.11319,0.99525,0.18664,204,36,7544,889
0.35000000000000003,0.725,0.09939,0.99531,0.1791,204,36,7633,935
0.375,0.725,0.08456,0.99536,0.171,204,36,7724,989
0.4,0.725,0.0729,0.9954,0.16505,204,36,7795,1032
0.42500000000000004,0.725,0.0635,0.99543,0.15925,204,36,7842,1077
0.45,0.725,0.05573,0.99545,0.15385,204,36,7873,1122
0.47500000000000003,0.725,0.04755,0.99547,0.14923,204,36,7912,1163
0.5,0.725,0.04151,0.99549,0.14592,204,36,7940,1194
0.0,0.75,0.97914,0.0,1.0,174,30,0,0
0.025,0.75,0.94888,0.90536,0.95082,174,30,287,9
0.05,0.75,0.84233,0.97729,0.78733,174,30,1291,47
0.07500000000000001,0.75,0.6819,0.98932,0.57807,174,30,2780,127
0.1,0.75,0.51728,0.99303,0.41928,174,30,4276,241
0.125,0.75,0.41196,0.99427,0.33852,174,30,5207,340
0.15000000000000002,0.75,0.33129,0.99495,0.28904,174,30,5908,428
0.17500000000000002,0.75,0.27761,0.99531,0.25854,174,30,6362,499
0.2,0.75,0.23589,0.99554,0.23545,174,30,6704,565
