threshold_lower,threshold_upper,percentage rejected samples,specificity,sensitivity,TP,FP,TN,FN
0.0,0.5,89,0.0,1.0,803,231,0,0
0.025,0.5,74,0.86,0.98,803,231,1462,18
0.05,0.5,57,0.93,0.91,803,231,3032,75
0.07500000000000001,0.5,44,0.95,0.84,803,231,4303,151
0.1,0.5,34,0.96,0.77,803,231,5165,236
0.125,0.5,27,0.96,0.73,803,231,5798,296
0.15000000000000002,0.5,22,0.96,0.69,803,231,6260,369
0.17500000000000002,0.5,17,0.97,0.65,803,231,6641,423
0.2,0.5,14,0.97,0.63,803,231,6935,470
0.225,0.5,11,0.97,0.61,803,231,7136,506
0.25,0.5,9,0.97,0.59,803,231,7300,561
0.275,0.5,7,0.97,0.57,803,231,7421,601
0.30000000000000004,0.5,6,0.97,0.56,803,231,7509,636
0.325,0.5,5,0.97,0.54,803,231,7594,672
0.35000000000000003,0.5,4,0.97,0.53,803,231,7652,698
0.375,0.5,3,0.97,0.52,803,231,7707,730
0.4,0.5,2,0.97,0.51,803,231,7749,758
0.42500000000000004,0.5,2,0.97,0.5,803,231,7793,797
0.45,0.5,1,0.97,0.49,803,231,7822,826
0.47500000000000003,0.5,0,0.97,0.48,803,231,7851,854
0.5,0.5,0,0.97,0.48,803,231,7869,877
0.0,0.525,90,0.0,1.0,767,213,0,0
0.025,0.525,75,0.87,0.98,767,213,1462,18
0.05,0.525,57,0.93,0.91,767,213,3032,75
0.07500000000000001,0.525,44,0.95,0.84,767,213,4303,151
0.1,0.525,35,0.96,0.76,767,213,5165,236
0.125,0.525,28,0.96,0.72,767,213,5798,296
0.15000000000000002,0.525,22,0.97,0.68,767,213,6260,369
0.17500000000000002,0.525,18,0.97,0.64,767,213,6641,423
0.2,0.525,14,0.97,0.62,767,213,6935,470
0.225,0.525,12,0.97,0.6,767,213,7136,506
0.25,0.525,10,0.97,0.58,767,213,7300,561
0.275,0.525,8,0.97,0.56,767,213,7421,601
0.30000000000000004,0.525,7,0.97,0.55,767,213,7509,636
0.325,0.525,5,0.97,0.53,767,213,7594,672
0.35000000000000003,0.525,5,0.97,0.52,767,213,7652,698
0.375,0.525,4,0.97,0.51,767,213,7707,730
0.4,0.525,3,0.97,0.5,767,213,7749,758
0.42500000000000004,0.525,2,0.97,0.49,767,213,7793,797
0.45,0.525,2,0.97,0.48,767,213,7822,826
0.47500000000000003,0.525,1,0.97,0.47,767,213,7851,854
0.5,0.525,1,0.97,0.47,767,213,7869,877
0.0,0.55,91,0.0,1.0,737,188,0,0
0.025,0.55,75,0.89,0.98,737,188,1462,18
0.05,0.55,59,0.94,0.91,737,188,3032,75
0.07500000000000001,0.55,45,0.96,0.83,737,188,4303,151
0.1,0.55,35,0.96,0.76,737,188,5165,236
0.125,0.55,28,0.97,0.71,737,188,5798,296
0.15000000000000002,0.55,23,0.97,0.67,737,188,6260,369
0.17500000000000002,0.55,18,0.97,0.64,737,188,6641,423
0.2,0.55,15,0.97,0.61,737,188,6935,470
0.225,0.55,12,0.97,0.59,737,188,7136,506
0.25,0.55,10,0.97,0.57,737,188,7300,561
0.275,0.55,9,0.98,0.55,737,188,7421,601
0.30000000000000004,0.55,7,0.98,0.54,737,188,7509,636
0.325,0.55,6,0.98,0.52,737,188,7594,672
0.35000000000000003,0.55,5,0.98,0.51,737,188,7652,698
0.375,0.55,4,0.98,0.5,737,188,7707,730
0.4,0.55,4,0.98,0.49,737,188,7749,758
0.42500000000000004,0.55,3,0.98,0.48,737,188,7793,797
0.45,0.55,2,0.98,0.47,737,188,7822,826
0.47500000000000003,0.55,2,0.98,0.46,737,188,7851,854
0.5,0.55,1,0.98,0.46,737,188,7869,877
0.0,0.575,91,0.0,1.0,703,172,0,0
0.025,0.575,76,0.89,0.98,703,172,1462,18
0.05,0.575,59,0.95,0.9,703,172,3032,75
0.07500000000000001,0.575,46,0.96,0.82,703,172,4303,151
0.1,0.575,36,0.97,0.75,703,172,5165,236
0.125,0.575,28,0.97,0.7,703,172,5798,296
0.15000000000000002,0.575,23,0.97,0.66,703,172,6260,369
0.17500000000000002,0.575,19,0.97,0.62,703,172,6641,423
0.2,0.575,15,0.98,0.6,703,172,6935,470
0.225,0.575,13,0.98,0.58,703,172,7136,506
0.25,0.575,11,0.98,0.56,703,172,7300,561
0.275,0.575,9,0.98,0.54,703,172,7421,601
0.30000000000000004,0.575,8,0.98,0.53,703,172,7509,636
0.325,0.575,7,0.98,0.51,703,172,7594,672
0.35000000000000003,0.575,6,0.98,0.5,703,172,7652,698
0.375,0.575,5,0.98,0.49,703,172,7707,730
0.4,0.575,4,0.98,0.48,703,172,7749,758
0.42500000000000004,0.575,3,0.98,0.47,703,172,7793,797
0.45,0.575,3,0.98,0.46,703,172,7822,826
0.47500000000000003,0.575,2,0.98,0.45,703,172,7851,854
0.5,0.575,2,0.98,0.44,703,172,7869,877
0.0,0.6,92,0.0,1.0,665,148,0,0
0.025,0.6,77,0.91,0.97,665,148,1462,18
0.05,0.6,60,0.95,0.9,665,148,3032,75
0.07500000000000001,0.6,46,0.97,0.81,665,148,4303,151
0.1,0.6,36,0.97,0.74,665,148,5165,236
0.125,0.6,28,0.98,0.69,665,148,5798,296
0.15000000000000002,0.6,24,0.98,0.64,665,148,6260,369
0.17500000000000002,0.6,19,0.98,0.61,665,148,6641,423
0.2,0.6,16,0.98,0.59,665,148,6935,470
0.225,0.6,14,0.98,0.57,665,148,7136,506
0.25,0.6,11,0.98,0.54,665,148,7300,561
0.275,0.6,10,0.98,0.53,665,148,7421,601
0.30000000000000004,0.6,8,0.98,0.51,665,148,7509,636
0.325,0.6,7,0.98,0.5,665,148,7594,672
0.35000000000000003,0.6,6,0.98,0.49,665,148,7652,698
0.375,0.6,5,0.98,0.48,665,148,7707,730
0.4,0.6,5,0.98,0.47,665,148,7749,758
0.42500000000000004,0.6,4,0.98,0.45,665,148,7793,797
0.45,0.6,3,0.98,0.45,665,148,7822,826
0.47500000000000003,0.6,3,0.98,0.44,665,148,7851,854
