threshold_lower,threshold_upper,percentage rejected samples,specificity,sensitivity,TP,FP,TN,FN
0.0,0.5,85,0.0,1.0,1171,286,0,0
0.025,0.5,75,0.78,0.99,1171,286,1028,13
0.05,0.5,60,0.9,0.95,1171,286,2465,64
0.07500000000000001,0.5,46,0.93,0.88,1171,286,3793,159
0.1,0.5,36,0.94,0.83,1171,286,4704,241
0.125,0.5,28,0.95,0.79,1171,286,5356,314
0.15000000000000002,0.5,23,0.95,0.75,1171,286,5827,386
0.17500000000000002,0.5,19,0.96,0.72,1171,286,6173,459
0.2,0.5,16,0.96,0.7,1171,286,6401,499
0.225,0.5,13,0.96,0.68,1171,286,6628,554
0.25,0.5,11,0.96,0.66,1171,286,6793,613
0.275,0.5,9,0.96,0.64,1171,286,6916,662
0.30000000000000004,0.5,8,0.96,0.62,1171,286,7020,704
0.325,0.5,6,0.96,0.61,1171,286,7109,753
0.35000000000000003,0.5,5,0.96,0.6,1171,286,7172,795
0.375,0.5,4,0.96,0.58,1171,286,7239,836
0.4,0.5,3,0.96,0.57,1171,286,7295,867
0.42500000000000004,0.5,2,0.96,0.57,1171,286,7360,897
0.45,0.5,1,0.96,0.55,1171,286,7393,939
0.47500000000000003,0.5,1,0.96,0.55,1171,286,7432,967
0.5,0.5,0,0.96,0.54,1171,286,7474,999
0.0,0.525,86,0.0,1.0,1138,254,0,0
0.025,0.525,75,0.8,0.99,1138,254,1028,13
0.05,0.525,61,0.91,0.95,1138,254,2465,64
0.07500000000000001,0.525,46,0.94,0.88,1138,254,3793,159
0.1,0.525,36,0.95,0.83,1138,254,4704,241
0.125,0.525,28,0.95,0.78,1138,254,5356,314
0.15000000000000002,0.525,23,0.96,0.75,1138,254,5827,386
0.17500000000000002,0.525,19,0.96,0.71,1138,254,6173,459
0.2,0.525,16,0.96,0.7,1138,254,6401,499
0.225,0.525,14,0.96,0.67,1138,254,6628,554
0.25,0.525,11,0.96,0.65,1138,254,6793,613
0.275,0.525,10,0.96,0.63,1138,254,6916,662
0.30000000000000004,0.525,8,0.97,0.62,1138,254,7020,704
0.325,0.525,7,0.97,0.6,1138,254,7109,753
0.35000000000000003,0.525,6,0.97,0.59,1138,254,7172,795
0.375,0.525,5,0.97,0.58,1138,254,7239,836
0.4,0.525,4,0.97,0.57,1138,254,7295,867
0.42500000000000004,0.525,3,0.97,0.56,1138,254,7360,897
0.45,0.525,2,0.97,0.55,1138,254,7393,939
0.47500000000000003,0.525,1,0.97,0.54,1138,254,7432,967
0.5,0.525,1,0.97,0.53,1138,254,7474,999
0.0,0.55,87,0.0,1.0,1101,233,0,0
0.025,0.55,76,0.82,0.99,1101,233,1028,13
0.05,0.55,61,0.91,0.95,1101,233,2465,64
0.07500000000000001,0.55,47,0.94,0.87,1101,233,3793,159
0.1,0.55,37,0.95,0.82,1101,233,4704,241
0.125,0.55,28,0.96,0.78,1101,233,5356,314
0.15000000000000002,0.55,24,0.96,0.74,1101,233,5827,386
0.17500000000000002,0.55,20,0.96,0.71,1101,233,6173,459
0.2,0.55,17,0.96,0.69,1101,233,6401,499
0.225,0.55,14,0.97,0.67,1101,233,6628,554
0.25,0.55,12,0.97,0.64,1101,233,6793,613
0.275,0.55,10,0.97,0.62,1101,233,6916,662
0.30000000000000004,0.55,9,0.97,0.61,1101,233,7020,704
0.325,0.55,7,0.97,0.59,1101,233,7109,753
0.35000000000000003,0.55,6,0.97,0.58,1101,233,7172,795
0.375,0.55,5,0.97,0.57,1101,233,7239,836
0.4,0.55,4,0.97,0.56,1101,233,7295,867
0.42500000000000004,0.55,3,0.97,0.55,1101,233,7360,897
0.45,0.55,3,0.97,0.54,1101,233,7393,939
0.47500000000000003,0.55,2,0.97,0.53,1101,233,7432,967
0.5,0.55,1,0.97,0.52,1101,233,7474,999
0.0,0.575,87,0.0,1.0,1067,210,0,0
0.025,0.575,77,0.83,0.99,1067,210,1028,13
0.05,0.575,62,0.92,0.94,1067,210,2465,64
0.07500000000000001,0.575,47,0.95,0.87,1067,210,3793,159
0.1,0.575,37,0.96,0.82,1067,210,4704,241
0.125,0.575,30,0.96,0.77,1067,210,5356,314
0.15000000000000002,0.575,25,0.97,0.73,1067,210,5827,386
0.17500000000000002,0.575,20,0.97,0.7,1067,210,6173,459
0.2,0.575,18,0.97,0.68,1067,210,6401,499
0.225,0.575,15,0.97,0.66,1067,210,6628,554
0.25,0.575,13,0.97,0.64,1067,210,6793,613
0.275,0.575,11,0.97,0.62,1067,210,6916,662
0.30000000000000004,0.575,9,0.97,0.6,1067,210,7020,704
0.325,0.575,8,0.97,0.59,1067,210,7109,753
0.35000000000000003,0.575,7,0.97,0.57,1067,210,7172,795
0.375,0.575,6,0.97,0.56,1067,210,7239,836
0.4,0.575,5,0.97,0.55,1067,210,7295,867
0.42500000000000004,0.575,4,0.97,0.54,1067,210,7360,897
0.45,0.575,3,0.97,0.53,1067,210,7393,939
0.47500000000000003,0.575,3,0.97,0.52,1067,210,7432,967
0.5,0.575,2,0.97,0.52,1067,210,7474,999
0.0,0.6,88,0.0,1.0,1034,184,0,0
0.025,0.6,77,0.85,0.99,1034,184,1028,13
0.05,0.6,62,0.93,0.94,1034,184,2465,64
