threshold_lower,threshold_upper,percentage rejected samples,specificity,sensitivity,TP,FP,TN,FN
0.0,0.5,86,0.0,1.0,1173,171,0,0
0.025,0.5,80,0.78,0.99,1173,171,595,11
0.05,0.5,66,0.92,0.95,1173,171,1989,66
0.07500000000000001,0.5,51,0.95,0.9,1173,171,3390,134
0.1,0.5,39,0.96,0.84,1173,171,4486,230
0.125,0.5,30,0.97,0.79,1173,171,5271,308
0.15000000000000002,0.5,24,0.97,0.76,1173,171,5841,378
0.17500000000000002,0.5,19,0.97,0.73,1173,171,6210,442
0.2,0.5,16,0.97,0.7,1173,171,6500,500
0.225,0.5,13,0.98,0.68,1173,171,6742,558
0.25,0.5,11,0.98,0.66,1173,171,6920,601
0.275,0.5,9,0.98,0.65,1173,171,7055,633
0.30000000000000004,0.5,7,0.98,0.63,1173,171,7174,676
0.325,0.5,6,0.98,0.62,1173,171,7274,722
0.35000000000000003,0.5,5,0.98,0.6,1173,171,7356,767
0.375,0.5,4,0.98,0.59,1173,171,7409,805
0.4,0.5,3,0.98,0.58,1173,171,7457,839
0.42500000000000004,0.5,2,0.98,0.57,1173,171,7499,888
0.45,0.5,1,0.98,0.56,1173,171,7530,924
0.47500000000000003,0.5,1,0.98,0.55,1173,171,7555,962
0.5,0.5,0,0.98,0.54,1173,171,7589,997
0.0,0.525,87,0.0,1.0,1138,157,0,0
0.025,0.525,81,0.79,0.99,1138,157,595,11
0.05,0.525,66,0.93,0.95,1138,157,1989,66
0.07500000000000001,0.525,51,0.96,0.89,1138,157,3390,134
0.1,0.525,39,0.97,0.83,1138,157,4486,230
0.125,0.525,31,0.97,0.79,1138,157,5271,308
0.15000000000000002,0.525,24,0.97,0.75,1138,157,5841,378
0.17500000000000002,0.525,20,0.98,0.72,1138,157,6210,442
0.2,0.525,16,0.98,0.69,1138,157,6500,500
0.225,0.525,13,0.98,0.67,1138,157,6742,558
0.25,0.525,11,0.98,0.65,1138,157,6920,601
0.275,0.525,10,0.98,0.64,1138,157,7055,633
0.30000000000000004,0.525,8,0.98,0.63,1138,157,7174,676
0.325,0.525,6,0.98,0.61,1138,157,7274,722
0.35000000000000003,0.525,5,0.98,0.6,1138,157,7356,767
0.375,0.525,4,0.98,0.59,1138,157,7409,805
0.4,0.525,3,0.98,0.58,1138,157,7457,839
0.42500000000000004,0.525,2,0.98,0.56,1138,157,7499,888
0.45,0.525,2,0.98,0.55,1138,157,7530,924
0.47500000000000003,0.525,1,0.98,0.54,1138,157,7555,962
0.5,0.525,0,0.98,0.53,1138,157,7589,997
0.0,0.55,88,0.0,1.0,1096,142,0,0
0.025,0.55,81,0.81,0.99,1096,142,595,11
0.05,0.55,67,0.93,0.94,1096,142,1989,66
0.07500000000000001,0.55,52,0.96,0.89,1096,142,3390,134
