threshold_lower,threshold_upper,percentage rejected samples,specificity,sensitivity,TP,FP,TN,FN
0.0,0.5,92,0.0,1.0,382,49,0,0
0.025,0.5,86,0.88,0.98,382,49,370,9
0.05,0.5,66,0.97,0.88,382,49,1483,51
0.07500000000000001,0.5,44,0.98,0.74,382,49,2657,132
0.1,0.5,31,0.99,0.67,382,49,3319,187
0.125,0.5,22,0.99,0.61,382,49,3803,241
0.15000000000000002,0.5,16,0.99,0.58,382,49,4114,276
0.17500000000000002,0.5,12,0.99,0.55,382,49,4299,316
0.2,0.5,9,0.99,0.52,382,49,4424,351
0.225,0.5,7,0.99,0.5,382,49,4517,378
0.25,0.5,6,0.99,0.49,382,49,4570,400
0.275,0.5,4,0.99,0.47,382,49,4623,426
0.30000000000000004,0.5,3,0.99,0.47,382,49,4673,434
0.325,0.5,3,0.99,0.46,382,49,4692,448
0.35000000000000003,0.5,2,0.99,0.45,382,49,4708,463
0.375,0.5,2,0.99,0.45,382,49,4729,473
0.4,0.5,1,0.99,0.44,382,49,4741,479
0.42500000000000004,0.5,1,0.99,0.44,382,49,4754,487
0.45,0.5,1,0.99,0.43,382,49,4760,499
0.47500000000000003,0.5,0,0.99,0.43,382,49,4766,507
0.5,0.5,0,0.99,0.42,382,49,4771,518
0.0,0.525,93,0.0,1.0,376,46,0,0
0.025,0.525,86,0.89,0.98,376,46,370,9
0.05,0.525,66,0.97,0.88,376,46,1483,51
0.07500000000000001,0.525,44,0.98,0.74,376,46,2657,132
0.1,0.525,31,0.99,0.67,376,46,3319,187
0.125,0.525,22,0.99,0.61,376,46,3803,241
0.15000000000000002,0.525,16,0.99,0.58,376,46,4114,276
0.17500000000000002,0.525,12,0.99,0.54,376,46,4299,316
0.2,0.525,9,0.99,0.52,376,46,4424,351
0.225,0.525,7,0.99,0.5,376,46,4517,378
0.25,0.525,6,0.99,0.48,376,46,4570,400
0.275,0.525,4,0.99,0.47,376,46,4623,426
0.30000000000000004,0.525,3,0.99,0.46,376,46,4673,434
0.325,0.525,3,0.99,0.46,376,46,4692,448
0.35000000000000003,0.525,2,0.99,0.45,376,46,4708,463
0.375,0.525,2,0.99,0.44,376,46,4729,473
0.4,0.525,1,0.99,0.44,376,46,4741,479
0.42500000000000004,0.525,1,0.99,0.44,376,46,4754,487
0.45,0.525,1,0.99,0.43,376,46,4760,499
0.47500000000000003,0.525,0,0.99,0.43,376,46,4766,507
0.5,0.525,0,0.99,0.42,376,46,4771,518
0.0,0.55,93,0.0,1.0,370,35,0,0
0.025,0.55,86,0.91,0.98,370,35,370,9
0.05,0.55,66,0.98,0.88,370,35,1483,51
0.07500000000000001,0.55,44,0.99,0.74,370,35,2657,132
0.1,0.55,32,0.99,0.66,370,35,3319,187
0.125,0.55,22,0.99,0.61,370,35,3803,241
0.15000000000000002,0.55,16,0.99,0.57,370,35,4114,276
0.17500000000000002,0.55,12,0.99,0.54,370,35,4299,316
0.2,0.55,9,0.99,0.51,370,35,4424,351
0.225,0.55,7,0.99,0.49,370,35,4517,378
0.25,0.55,6,0.99,0.48,370,35,4570,400
0.275,0.55,5,0.99,0.46,370,35,4623,426
0.30000000000000004,0.55,4,0.99,0.46,370,35,4673,434
0.325,0.55,3,0.99,0.45,370,35,4692,448
0.35000000000000003,0.55,3,0.99,0.44,370,35,4708,463
0.375,0.55,2,0.99,0.44,370,35,4729,473
0.4,0.55,2,0.99,0.44,370,35,4741,479
0.42500000000000004,0.55,1,0.99,0.43,370,35,4754,487
0.45,0.55,1,0.99,0.43,370,35,4760,499
0.47500000000000003,0.55,1,0.99,0.42,370,35,4766,507
0.5,0.55,0,0.99,0.42,370,35,4771,518
0.0,0.575,93,0.0,1.0,364,31,0,0
0.025,0.575,86,0.92,0.98,364,31,370,9
0.05,0.575,66,0.98,0.88,364,31,1483,51
0.07500000000000001,0.575,44,0.99,0.73,364,31,2657,132
0.1,0.575,32,0.99,0.66,364,31,3319,187
0.125,0.575,22,0.99,0.6,364,31,3803,241
0.15000000000000002,0.575,16,0.99,0.57,364,31,4114,276
0.17500000000000002,0.575,12,0.99,0.54,364,31,4299,316
0.2,0.575,10,0.99,0.51,364,31,4424,351
0.225,0.575,8,0.99,0.49,364,31,4517,378
0.25,0.575,6,0.99,0.48,364,31,4570,400
0.275,0.575,5,0.99,0.46,364,31,4623,426
0.30000000000000004,0.575,4,0.99,0.46,364,31,4673,434
0.325,0.575,3,0.99,0.45,364,31,4692,448
0.35000000000000003,0.575,3,0.99,0.44,364,31,4708,463
0.375,0.575,2,0.99,0.43,364,31,4729,473
0.4,0.575,2,0.99,0.43,364,31,4741,479
0.42500000000000004,0.575,1,0.99,0.43,364,31,4754,487
0.45,0.575,1,0.99,0.42,364,31,4760,499
0.47500000000000003,0.575,1,0.99,0.42,364,31,4766,507
0.5,0.575,1,0.99,0.41,364,31,4771,518
0.0,0.6,93,0.0,1.0,360,28,0,0
0.025,0.6,87,0.93,0.98,360,28,370,9
0.05,0.6,66,0.98,0.88,360,28,1483,51
0.07500000000000001,0.6,44,0.99,0.73,360,28,2657,132
0.1,0.6,32,0.99,0.66,360,28,3319,187
0.125,0.6,23,0.99,0.6,360,28,3803,241
0.15000000000000002,0.6,16,0.99,0.57,360,28,4114,276
0.17500000000000002,0.6,13,0.99,0.53,360,28,4299,316
0.2,0.6,10,0.99,0.51,360,28,4424,351
0.225,0.6,8,0.99,0.49,360,28,4517,378
0.25,0.6,6,0.99,0.47,360,28,4570,400
0.275,0.6,5,0.99,0.46,360,28,4623,426
0.30000000000000004,0.6,4,0.99,0.45,360,28,4673,434
0.325,0.6,3,0.99,0.45,360,28,4692,448
0.35000000000000003,0.6,3,0.99,0.44,360,28,4708,463
0.375,0.6,2,0.99,0.43,360,28,4729,473
0.4,0.6,2,0.99,0.43,360,28,4741,479
0.42500000000000004,0.6,2,0.99,0.43,360,28,4754,487
0.45,0.6,1,0.99,0.42,360,28,4760,499
0.47500000000000003,0.6,1,0.99,0.42,360,28,4766,507
0.5,0.6,1,0.99,0.41,360,28,4771,518
0.0,0.625,93,0.0,1.0,352,27,0,0
0.025,0.625,87,0.93,0.98,352,27,370,9
0.05,0.625,67,0.98,0.87,352,27,1483,51
0.07500000000000001,0.625,45,0.99,0.73,352,27,2657,132
0.1,0.625,32,0.99,0.65,352,27,3319,187
0.125,0.625,23,0.99,0.59,352,27,3803,241
0.15000000000000002,0.625,17,0.99,0.56,352,27,4114,276
0.17500000000000002,0.625,13,0.99,0.53,352,27,4299,316
0.2,0.625,10,0.99,0.5,352,27,4424,351
0.225,0.625,8,0.99,0.48,352,27,4517,378
0.25,0.625,6,0.99,0.47,352,27,4570,400
0.275,0.625,5,0.99,0.45,352,27,4623,426
0.30000000000000004,0.625,4,0.99,0.45,352,27,4673,434
0.325,0.625,4,0.99,0.44,352,27,4692,448
0.35000000000000003,0.625,3,0.99,0.43,352,27,4708,463
0.375,0.625,2,0.99,0.43,352,27,4729,473
0.4,0.625,2,0.99,0.42,352,27,4741,479
0.42500000000000004,0.625,2,0.99,0.42,352,27,4754,487
0.45,0.625,1,0.99,0.41,352,27,4760,499
0.47500000000000003,0.625,1,0.99,0.41,352,27,4766,507
0.5,0.625,1,0.99,0.4,352,27,4771,518
0.0,0.65,94,0.0,1.0,344,22,0,0
0.025,0.65,87,0.94,0.97,344,22,370,9
0.05,0.65,67,0.99,0.87,344,22,1483,51
0.07500000000000001,0.65,45,0.99,0.72,344,22,2657,132
0.1,0.65,32,0.99,0.65,344,22,3319,187
0.125,0.65,23,0.99,0.59,344,22,3803,241
0.15000000000000002,0.65,17,0.99,0.55,344,22,4114,276
0.17500000000000002,0.65,13,0.99,0.52,344,22,4299,316
0.2,0.65,10,1.0,0.49,344,22,4424,351
0.225,0.65,8,1.0,0.48,344,22,4517,378
0.25,0.65,7,1.0,0.46,344,22,4570,400
0.275,0.65,5,1.0,0.45,344,22,4623,426
0.30000000000000004,0.65,4,1.0,0.44,344,22,4673,434
0.325,0.65,4,1.0,0.43,344,22,4692,448
0.35000000000000003,0.65,3,1.0,0.43,344,22,4708,463
0.375,0.65,3,1.0,0.42,344,22,4729,473
0.4,0.65,2,1.0,0.42,344,22,4741,479
0.42500000000000004,0.65,2,1.0,0.41,344,22,4754,487
0.45,0.65,2,1.0,0.41,344,22,4760,499
0.47500000000000003,0.65,1,1.0,0.4,344,22,4766,507
