threshold_lower,threshold_upper,percentage rejected samples,specificity,sensitivity,TP,FP,TN,FN
0.0,0.5,91,0.0,1.0,411,88,0,0
0.025,0.5,79,0.88,0.95,411,88,654,22
0.05,0.5,54,0.96,0.82,411,88,2041,89
0.07500000000000001,0.5,34,0.97,0.72,411,88,3107,156
0.1,0.5,25,0.98,0.66,411,88,3582,214
0.125,0.5,19,0.98,0.62,411,88,3890,252
0.15000000000000002,0.5,15,0.98,0.6,411,88,4091,278
0.17500000000000002,0.5,12,0.98,0.57,411,88,4226,309
0.2,0.5,10,0.98,0.56,411,88,4344,325
0.225,0.5,8,0.98,0.54,411,88,4422,351
0.25,0.5,6,0.98,0.52,411,88,4477,373
0.275,0.5,5,0.98,0.52,411,88,4529,386
0.30000000000000004,0.5,4,0.98,0.51,411,88,4577,396
0.325,0.5,4,0.98,0.5,411,88,4609,411
0.35000000000000003,0.5,3,0.98,0.49,411,88,4649,420
0.375,0.5,2,0.98,0.49,411,88,4668,433
0.4,0.5,2,0.98,0.48,411,88,4684,441
0.42500000000000004,0.5,1,0.98,0.47,411,88,4701,458
0.45,0.5,1,0.98,0.46,411,88,4711,474
0.47500000000000003,0.5,0,0.98,0.46,411,88,4726,483
0.5,0.5,0,0.98,0.46,411,88,4732,489
0.0,0.525,92,0.0,1.0,396,83,0,0
0.025,0.525,80,0.89,0.95,396,83,654,22
0.05,0.525,54,0.96,0.82,396,83,2041,89
0.07500000000000001,0.525,35,0.97,0.72,396,83,3107,156
0.1,0.525,25,0.98,0.65,396,83,3582,214
0.125,0.525,19,0.98,0.61,396,83,3890,252
0.15000000000000002,0.525,15,0.98,0.59,396,83,4091,278
0.17500000000000002,0.525,12,0.98,0.56,396,83,4226,309
0.2,0.525,10,0.98,0.55,396,83,4344,325
0.225,0.525,8,0.98,0.53,396,83,4422,351
0.25,0.525,7,0.98,0.51,396,83,4477,373
0.275,0.525,6,0.98,0.51,396,83,4529,386
0.30000000000000004,0.525,5,0.98,0.5,396,83,4577,396
0.325,0.525,4,0.98,0.49,396,83,4609,411
0.35000000000000003,0.525,3,0.98,0.49,396,83,4649,420
0.375,0.525,2,0.98,0.48,396,83,4668,433
0.4,0.525,2,0.98,0.47,396,83,4684,441
0.42500000000000004,0.525,1,0.98,0.46,396,83,4701,458
0.45,0.525,1,0.98,0.46,396,83,4711,474
