threshold_lower,threshold_upper,percentage rejected samples,specificity,sensitivity,TP,FP,TN,FN
0.0,0.5,0.92395,0.0,1.0,378,57,0,0
0.025,0.5,0.89983,0.69681,0.98182,378,57,131,7
0.05,0.5,0.71766,0.95202,0.88525,378,57,1131,49
0.07500000000000001,0.5,0.48199,0.97678,0.74409,378,57,2398,130
0.1,0.5,0.30769,0.98303,0.62791,378,57,3301,224
0.125,0.5,0.20542,0.98528,0.5625,378,57,3816,294
0.15000000000000002,0.5,0.14493,0.98631,0.52066,378,57,4108,348
0.17500000000000002,0.5,0.10892,0.98688,0.50333,378,57,4289,373
0.2,0.5,0.07867,0.98731,0.48462,378,57,4433,402
0.225,0.5,0.06101,0.98753,0.47191,378,57,4513,423
0.25,0.5,0.0486,0.9877,0.46782,378,57,4577,430
0.275,0.5,0.03864,0.98782,0.46041,378,57,4621,443
0.30000000000000004,0.5,0.0299,0.98791,0.45378,378,57,4659,455
0.325,0.5,0.02255,0.98798,0.44575,378,57,4686,470
0.35000000000000003,0.5,0.01661,0.98804,0.43902,378,57,4707,483
0.375,0.5,0.01329,0.98806,0.43448,378,57,4717,492
0.4,0.5,0.00962,0.9881,0.43151,378,57,4732,498
0.42500000000000004,0.5,0.00647,0.98812,0.4276,378,57,4742,506
0.45,0.5,0.00385,0.98815,0.4252,378,57,4752,511
0.47500000000000003,0.5,0.00175,0.98816,0.42235,378,57,4758,517
0.5,0.5,0.0,0.98817,0.42,378,57,4763,522
0.0,0.525,0.92797,0.0,1.0,370,42,0,0
0.025,0.525,0.90385,0.75723,0.98143,370,42,131,7
0.05,0.525,0.72168,0.96419,0.88305,370,42,1131,49
0.07500000000000001,0.525,0.48601,0.98279,0.74,370,42,2398,130
0.1,0.525,0.31171,0.98744,0.6229,370,42,3301,224
0.125,0.525,0.20944,0.98911,0.55723,370,42,3816,294
0.15000000000000002,0.525,0.14895,0.98988,0.51532,370,42,4108,348
0.17500000000000002,0.525,0.11294,0.9903,0.49798,370,42,4289,373
0.2,0.525,0.08269,0.99061,0.47927,370,42,4433,402
0.225,0.525,0.06503,0.99078,0.46658,370,42,4513,423
0.25,0.525,0.05262,0.99091,0.4625,370,42,4577,430
0.275,0.525,0.04266,0.99099,0.4551,370,42,4621,443
0.30000000000000004,0.525,0.03392,0.99107,0.44848,370,42,4659,455
0.325,0.525,0.02657,0.99112,0.44048,370,42,4686,470
0.35000000000000003,0.525,0.02063,0.99116,0.43376,370,42,4707,483
0.375,0.525,0.01731,0.99117,0.42923,370,42,4717,492
0.4,0.525,0.01364,0.9912,0.42627,370,42,4732,498
0.42500000000000004,0.525,0.01049,0.99122,0.42237,370,42,4742,506
0.45,0.525,0.00787,0.99124,0.41998,370,42,4752,511
