threshold_lower,threshold_upper,percentage rejected samples,specificity,sensitivity,TP,FP,TN,FN
0.0,0.5,0.93304,0.0,1.0,309,74,0,0
0.025,0.5,0.86101,0.84421,0.96562,309,74,401,11
0.05,0.5,0.65385,0.95426,0.85359,309,74,1544,53
0.07500000000000001,0.5,0.48287,0.97083,0.73397,309,74,2463,112
0.1,0.5,0.34843,0.97716,0.6345,309,74,3166,178
0.125,0.5,0.26486,0.97981,0.57328,309,74,3592,230
0.15000000000000002,0.5,0.20524,0.98132,0.52821,309,74,3887,276
0.17500000000000002,0.5,0.16503,0.98223,0.50573,309,74,4091,302
0.2,0.5,0.13007,0.98292,0.47981,309,74,4258,335
0.225,0.5,0.10717,0.9833,0.45778,309,74,4358,366
0.25,0.5,0.08811,0.98363,0.4446,309,74,4447,386
0.275,0.5,0.07115,0.98386,0.42503,309,74,4512,418
0.30000000000000004,0.5,0.05769,0.98404,0.40981,309,74,4562,445
0.325,0.5,0.04808,0.98416,0.39922,309,74,4597,465
0.35000000000000003,0.5,0.03934,0.98425,0.3877,309,74,4624,488
0.375,0.5,0.03024,0.98435,0.37775,309,74,4655,509
0.4,0.5,0.02378,0.98443,0.37184,309,74,4679,522
0.42500000000000004,0.5,0.01713,0.9845,0.36482,309,74,4701,538
0.45,0.5,0.01119,0.98455,0.35681,309,74,4716,557
0.47500000000000003,0.5,0.00629,0.9846,0.35114,309,74,4730,571
0.5,0.5,0.0,0.98465,0.34333,309,74,4746,591
0.0,0.525,0.93741,0.0,1.0,296,62,0,0
0.025,0.525,0.86538,0.86609,0.96417,296,62,401,11
0.05,0.525,0.65822,0.96139,0.84814,296,62,1544,53
0.07500000000000001,0.525,0.48724,0.97545,0.72549,296,62,2463,112
0.1,0.525,0.3528,0.98079,0.62447,296,62,3166,178
0.125,0.525,0.26923,0.98303,0.56274,296,62,3592,230
0.15000000000000002,0.525,0.20962,0.9843,0.51748,296,62,3887,276
0.17500000000000002,0.525,0.16941,0.98507,0.49498,296,62,4091,302
0.2,0.525,0.13444,0.98565,0.4691,296,62,4258,335
0.225,0.525,0.11154,0.98597,0.44713,296,62,4358,366
0.25,0.525,0.09248,0.98625,0.43402,296,62,4447,386
0.275,0.525,0.07552,0.98645,0.41457,296,62,4512,418
0.30000000000000004,0.525,0.06206,0.98659,0.39946,296,62,4562,445
0.325,0.525,0.05245,0.98669,0.38896,296,62,4597,465
0.35000000000000003,0.525,0.04371,0.98677,0.37755,296,62,4624,488
0.375,0.525,0.03462,0.98686,0.3677,296,62,4655,509
0.4,0.525,0.02815,0.98692,0.36186,296,62,4679,522
0.42500000000000004,0.525,0.0215,0.98698,0.35492,296,62,4701,538
0.45,0.525,0.01556,0.98702,0.34701,296,62,4716,557
0.47500000000000003,0.525,0.01066,0.98706,0.34141,296,62,4730,571
0.5,0.525,0.00437,0.9871,0.33371,296,62,4746,591
0.0,0.55,0.94073,0.0,1.0,286,53,0,0
