threshold_lower,threshold_upper,percentage rejected samples,specificity,sensitivity,TP,FP,TN,FN
0.0,0.5,0.90664,0.0,1.0,459,75,0,0
0.025,0.5,0.75105,0.92063,0.95825,459,75,870,20
0.05,0.5,0.47675,0.96956,0.86767,459,75,2389,70
0.07500000000000001,0.5,0.33199,0.97697,0.81239,459,75,3181,106
0.1,0.5,0.24563,0.97981,0.765,459,75,3640,141
0.125,0.5,0.19318,0.98123,0.74152,459,75,3921,160
0.15000000000000002,0.5,0.16049,0.982,0.7217,459,75,4091,177
0.17500000000000002,0.5,0.13007,0.9826,0.69023,459,75,4236,206
0.2,0.5,0.10682,0.98305,0.67204,459,75,4351,224
0.225,0.5,0.08951,0.98333,0.64831,459,75,4425,249
0.25,0.5,0.07483,0.98357,0.63049,459,75,4489,269
0.275,0.5,0.06241,0.98376,0.61611,459,75,4543,286
0.30000000000000004,0.5,0.05017,0.98395,0.60315,459,75,4597,302
0.325,0.5,0.04178,0.98405,0.58846,459,75,4626,321
0.35000000000000003,0.5,0.03252,0.98417,0.57591,459,75,4662,338
0.375,0.5,0.02378,0.98425,0.55839,459,75,4687,363
0.4,0.5,0.01678,0.98431,0.54384,459,75,4705,385
0.42500000000000004,0.5,0.01259,0.98434,0.53372,459,75,4713,401
0.45,0.5,0.00857,0.98438,0.52698,459,75,4725,412
0.47500000000000003,0.5,0.00332,0.98441,0.51631,459,75,4737,430
0.5,0.5,0.0,0.98444,0.51,459,75,4745,441
0.0,0.525,0.91031,0.0,1.0,445,68,0,0
0.025,0.525,0.75472,0.92751,0.95699,445,68,870,20
0.05,0.525,0.48042,0.97232,0.86408,445,68,2389,70
0.07500000000000001,0.525,0.33566,0.97907,0.80762,445,68,3181,106
0.1,0.525,0.2493,0.98166,0.75939,445,68,3640,141
0.125,0.525,0.19685,0.98295,0.73554,445,68,3921,160
0.15000000000000002,0.525,0.16416,0.98365,0.71543,445,68,4091,177
0.17500000000000002,0.525,0.13374,0.9842,0.68356,445,68,4236,206
0.2,0.525,0.11049,0.98461,0.66517,445,68,4351,224
0.225,0.525,0.09318,0.98487,0.64121,445,68,4425,249
0.25,0.525,0.0785,0.98508,0.62325,445,68,4489,269
0.275,0.525,0.06608,0.98525,0.60876,445,68,4543,286
0.30000000000000004,0.525,0.05385,0.98542,0.59572,445,68,4597,302
0.325,0.525,0.04545,0.98551,0.58094,445,68,4626,321
0.35000000000000003,0.525,0.03619,0.98562,0.56833,445,68,4662,338
0.375,0.525,0.02745,0.9857,0.55074,445,68,4687,363
0.4,0.525,0.02045,0.98575,0.53614,445,68,4705,385
0.42500000000000004,0.525,0.01626,0.98578,0.526,445,68,4713,401
0.45,0.525,0.01224,0.98581,0.51925,445,68,4725,412
0.47500000000000003,0.525,0.00699,0.98585,0.50857,445,68,4737,430
0.5,0.525,0.00367,0.98587,0.50226,445,68,4745,441
0.0,0.55,0.91643,0.0,1.0,422,56,0,0
0.025,0.55,0.76084,0.93952,0.95475,422,56,870,20
0.05,0.55,0.48654,0.9771,0.85772,422,56,2389,70
0.07500000000000001,0.55,0.34178,0.9827,0.79924,422,56,3181,106
0.1,0.55,0.25542,0.98485,0.74956,422,56,3640,141
0.125,0.55,0.20297,0.98592,0.72509,422,56,3921,160
