threshold_lower,threshold_upper,percentage rejected samples,specificity,sensitivity,TP,FP,TN,FN
0.0,0.5,87,0.0,1.0,864,144,0,0
0.025,0.5,61,0.93,0.96,864,144,1899,34
0.05,0.5,42,0.96,0.91,864,144,3276,85
0.07500000000000001,0.5,30,0.97,0.86,864,144,4122,140
0.1,0.5,24,0.97,0.82,864,144,4597,188
0.125,0.5,19,0.97,0.79,864,144,4873,231
0.15000000000000002,0.5,16,0.97,0.76,864,144,5101,271
0.17500000000000002,0.5,13,0.97,0.74,864,144,5255,298
0.2,0.5,12,0.97,0.73,864,144,5372,327
0.225,0.5,10,0.97,0.71,864,144,5484,350
0.25,0.5,8,0.97,0.7,864,144,5578,371
0.275,0.5,7,0.98,0.69,864,144,5668,394
0.30000000000000004,0.5,6,0.98,0.67,864,144,5733,417
0.325,0.5,5,0.98,0.66,864,144,5767,437
0.35000000000000003,0.5,4,0.98,0.66,864,144,5803,444
0.375,0.5,3,0.98,0.65,864,144,5848,468
0.4,0.5,3,0.98,0.64,864,144,5879,492
0.42500000000000004,0.5,2,0.98,0.63,864,144,5912,518
0.45,0.5,1,0.98,0.61,864,144,5944,545
0.47500000000000003,0.5,1,0.98,0.6,864,144,5965,565
0.5,0.5,0,0.98,0.6,864,144,5986,586
0.0,0.525,87,0.0,1.0,845,127,0,0
0.025,0.525,62,0.94,0.96,845,127,1899,34
0.05,0.525,43,0.96,0.91,845,127,3276,85
0.07500000000000001,0.525,31,0.97,0.86,845,127,4122,140
0.1,0.525,24,0.97,0.82,845,127,4597,188
0.125,0.525,20,0.97,0.79,845,127,4873,231
0.15000000000000002,0.525,16,0.98,0.76,845,127,5101,271
0.17500000000000002,0.525,14,0.98,0.74,845,127,5255,298
0.2,0.525,12,0.98,0.72,845,127,5372,327
0.225,0.525,10,0.98,0.71,845,127,5484,350
0.25,0.525,9,0.98,0.69,845,127,5578,371
0.275,0.525,7,0.98,0.68,845,127,5668,394
0.30000000000000004,0.525,6,0.98,0.67,845,127,5733,417
0.325,0.525,5,0.98,0.66,845,127,5767,437
0.35000000000000003,0.525,5,0.98,0.66,845,127,5803,444
0.375,0.525,4,0.98,0.64,845,127,5848,468
0.4,0.525,3,0.98,0.63,845,127,5879,492
0.42500000000000004,0.525,2,0.98,0.62,845,127,5912,518
0.45,0.525,2,0.98,0.61,845,127,5944,545
0.47500000000000003,0.525,1,0.98,0.6,845,127,5965,565
0.5,0.525,0,0.98,0.59,845,127,5986,586
0.0,0.55,88,0.0,1.0,825,112,0,0
0.025,0.55,62,0.94,0.96,825,112,1899,34
0.05,0.55,43,0.97,0.91,825,112,3276,85
0.07500000000000001,0.55,31,0.97,0.85,825,112,4122,140
0.1,0.55,25,0.98,0.81,825,112,4597,188
0.125,0.55,20,0.98,0.78,825,112,4873,231
0.15000000000000002,0.55,17,0.98,0.75,825,112,5101,271
0.17500000000000002,0.55,14,0.98,0.73,825,112,5255,298
0.2,0.55,12,0.98,0.72,825,112,5372,327
0.225,0.55,11,0.98,0.7,825,112,5484,350
0.25,0.55,9,0.98,0.69,825,112,5578,371
0.275,0.55,8,0.98,0.68,825,112,5668,394
0.30000000000000004,0.55,7,0.98,0.66,825,112,5733,417
0.325,0.55,6,0.98,0.65,825,112,5767,437
0.35000000000000003,0.55,5,0.98,0.65,825,112,5803,444
0.375,0.55,4,0.98,0.64,825,112,5848,468
0.4,0.55,4,0.98,0.63,825,112,5879,492
0.42500000000000004,0.55,3,0.98,0.61,825,112,5912,518
0.45,0.55,2,0.98,0.6,825,112,5944,545
0.47500000000000003,0.55,1,0.98,0.59,825,112,5965,565
0.5,0.55,1,0.98,0.58,825,112,5986,586
0.0,0.575,88,0.0,1.0,815,101,0,0
0.025,0.575,62,0.95,0.96,815,101,1899,34
0.05,0.575,44,0.97,0.91,815,101,3276,85
0.07500000000000001,0.575,32,0.98,0.85,815,101,4122,140
0.1,0.575,25,0.98,0.81,815,101,4597,188
0.125,0.575,21,0.98,0.78,815,101,4873,231
0.15000000000000002,0.575,17,0.98,0.75,815,101,5101,271
0.17500000000000002,0.575,15,0.98,0.73,815,101,5255,298
0.2,0.575,13,0.98,0.71,815,101,5372,327
0.225,0.575,11,0.98,0.7,815,101,5484,350
0.25,0.575,9,0.98,0.69,815,101,5578,371
0.275,0.575,8,0.98,0.67,815,101,5668,394
0.30000000000000004,0.575,7,0.98,0.66,815,101,5733,417
0.325,0.575,6,0.98,0.65,815,101,5767,437
