threshold_lower,threshold_upper,percentage rejected samples,specificity,sensitivity,TP,FP,TN,FN
0.0,0.5,0.88773,0.0,1.0,767,84,0,0
0.025,0.5,0.73522,0.93154,0.98333,767,84,1143,13
0.05,0.5,0.55132,0.9674,0.93083,767,84,2493,57
0.07500000000000001,0.5,0.38826,0.97759,0.86277,767,84,3664,122
0.1,0.5,0.28628,0.98112,0.79896,767,84,4366,193
0.125,0.5,0.22507,0.98269,0.75196,767,84,4770,253
0.15000000000000002,0.5,0.17388,0.98382,0.71615,767,84,5107,304
0.17500000000000002,0.5,0.14077,0.98444,0.68728,767,84,5313,349
0.2,0.5,0.11478,0.98487,0.66235,767,84,5468,391
0.225,0.5,0.09248,0.98522,0.64238,767,84,5601,427
0.25,0.5,0.07836,0.98542,0.62612,767,84,5677,458
0.275,0.5,0.06491,0.98559,0.61018,767,84,5747,490
0.30000000000000004,0.5,0.0558,0.98571,0.60016,767,84,5795,511
0.325,0.5,0.04499,0.98587,0.59182,767,84,5859,529
0.35000000000000003,0.5,0.03391,0.98597,0.57496,767,84,5905,567
0.375,0.5,0.02493,0.98607,0.56273,767,84,5944,596
0.4,0.5,0.0186,0.98614,0.5566,767,84,5977,611
0.42500000000000004,0.5,0.01359,0.98618,0.54825,767,84,5994,632
0.45,0.5,0.00752,0.98623,0.539,767,84,6016,656
0.47500000000000003,0.5,0.00264,0.98627,0.53264,767,84,6036,673
0.5,0.5,0.0,0.9863,0.52897,767,84,6046,683
0.0,0.525,0.88984,0.0,1.0,760,75,0,0
0.025,0.525,0.73734,0.93842,0.98318,760,75,1143,13
0.05,0.525,0.55343,0.97079,0.93023,760,75,2493,57
0.07500000000000001,0.525,0.39037,0.97994,0.86168,760,75,3664,122
0.1,0.525,0.28839,0.98311,0.79748,760,75,4366,193
0.125,0.525,0.22718,0.98452,0.75025,760,75,4770,253
0.15000000000000002,0.525,0.17599,0.98553,0.71429,760,75,5107,304
0.17500000000000002,0.525,0.14288,0.98608,0.6853,760,75,5313,349
0.2,0.525,0.11689,0.98647,0.6603,760,75,5468,391
0.225,0.525,0.09459,0.98679,0.64027,760,75,5601,427
0.25,0.525,0.08047,0.98696,0.62397,760,75,5677,458
0.275,0.525,0.06702,0.98712,0.608,760,75,5747,490
0.30000000000000004,0.525,0.05792,0.98722,0.59795,760,75,5795,511
0.325,0.525,0.0471,0.98736,0.5896,760,75,5859,529
0.35000000000000003,0.525,0.03602,0.98746,0.57272,760,75,5905,567
0.375,0.525,0.02704,0.98754,0.56047,760,75,5944,596
0.4,0.525,0.02071,0.98761,0.55434,760,75,5977,611
0.42500000000000004,0.525,0.0157,0.98764,0.54598,760,75,5994,632
0.45,0.525,0.00963,0.98769,0.53672,760,75,6016,656
0.47500000000000003,0.525,0.00475,0.98773,0.53036,760,75,6036,673
0.5,0.525,0.00211,0.98775,0.52668,760,75,6046,683
0.0,0.55,0.89261,0.0,1.0,748,66,0,0
0.025,0.55,0.74011,0.94541,0.98292,748,66,1143,13
0.05,0.55,0.5562,0.97421,0.92919,748,66,2493,57
0.07500000000000001,0.55,0.39314,0.98231,0.85977,748,66,3664,122
0.1,0.55,0.29116,0.98511,0.7949,748,66,4366,193
0.125,0.55,0.22995,0.98635,0.74725,748,66,4770,253
0.15000000000000002,0.55,0.17876,0.98724,0.71103,748,66,5107,304
0.17500000000000002,0.55,0.14565,0.98773,0.68186,748,66,5313,349
0.2,0.55,0.11966,0.98807,0.65672,748,66,5468,391
0.225,0.55,0.09736,0.98835,0.6366,748,66,5601,427
0.25,0.55,0.08325,0.98851,0.62023,748,66,5677,458
0.275,0.55,0.06979,0.98865,0.6042,748,66,5747,490
0.30000000000000004,0.55,0.06069,0.98874,0.59412,748,66,5795,511
0.325,0.55,0.04987,0.98886,0.58575,748,66,5859,529
0.35000000000000003,0.55,0.03879,0.98895,0.56882,748,66,5905,567
0.375,0.55,0.02982,0.98902,0.55655,748,66,5944,596
0.4,0.55,0.02348,0.98908,0.5504,748,66,5977,611
0.42500000000000004,0.55,0.01847,0.98911,0.54203,748,66,5994,632
0.45,0.55,0.0124,0.98915,0.53276,748,66,6016,656
0.47500000000000003,0.55,0.00752,0.98918,0.52639,748,66,6036,673
0.5,0.55,0.00488,0.9892,0.52271,748,66,6046,683
0.0,0.575,0.89578,0.0,1.0,738,52,0,0
0.025,0.575,0.74327,0.95649,0.98269,738,52,1143,13
0.05,0.575,0.55937,0.97957,0.9283,738,52,2493,57
0.07500000000000001,0.575,0.39631,0.98601,0.85814,738,52,3664,122
0.1,0.575,0.29433,0.98823,0.7927,738,52,4366,193
0.125,0.575,0.23311,0.98922,0.7447,738,52,4770,253
0.15000000000000002,0.575,0.18193,0.98992,0.70825,738,52,5107,304
0.17500000000000002,0.575,0.14881,0.99031,0.67893,738,52,5313,349
0.2,0.575,0.12282,0.99058,0.65368,738,52,5468,391
0.225,0.575,0.10053,0.9908,0.63348,738,52,5601,427
0.25,0.575,0.08641,0.99092,0.61706,738,52,5677,458
0.275,0.575,0.07296,0.99103,0.60098,738,52,5747,490
0.30000000000000004,0.575,0.06385,0.99111,0.59087,738,52,5795,511
0.325,0.575,0.05303,0.9912,0.58248,738,52,5859,529
0.35000000000000003,0.575,0.04195,0.99127,0.56552,738,52,5905,567
0.375,0.575,0.03298,0.99133,0.55322,738,52,5944,596
0.4,0.575,0.02665,0.99138,0.54707,738,52,5977,611
0.42500000000000004,0.575,0.02164,0.9914,0.53869,738,52,5994,632
0.45,0.575,0.01557,0.99143,0.52941,738,52,6016,656
0.47500000000000003,0.575,0.01069,0.99146,0.52303,738,52,6036,673
0.5,0.575,0.00805,0.99147,0.51935,738,52,6046,683
0.0,0.6,0.89842,0.0,1.0,725,45,0,0
0.025,0.6,0.74591,0.96212,0.98238,725,45,1143,13
0.05,0.6,0.56201,0.98227,0.92711,725,45,2493,57
0.07500000000000001,0.6,0.39894,0.98787,0.85596,725,45,3664,122
0.1,0.6,0.29697,0.9898,0.78976,725,45,4366,193
0.125,0.6,0.23575,0.99065,0.74131,725,45,4770,253
0.15000000000000002,0.6,0.18456,0.99127,0.70457,725,45,5107,304
0.17500000000000002,0.6,0.15145,0.9916,0.67505,725,45,5313,349
0.2,0.6,0.12546,0.99184,0.64964,725,45,5468,391
0.225,0.6,0.10317,0.99203,0.62934,725,45,5601,427
0.25,0.6,0.08905,0.99214,0.61285,725,45,5677,458
0.275,0.6,0.07559,0.99223,0.59671,725,45,5747,490
0.30000000000000004,0.6,0.06649,0.99229,0.58657,725,45,5795,511
0.325,0.6,0.05567,0.99238,0.57815,725,45,5859,529
0.35000000000000003,0.6,0.04459,0.99244,0.56115,725,45,5905,567
0.375,0.6,0.03562,0.99249,0.54883,725,45,5944,596
0.4,0.6,0.02929,0.99253,0.54266,725,45,5977,611
0.42500000000000004,0.6,0.02427,0.99255,0.53427,725,45,5994,632
0.45,0.6,0.01821,0.99258,0.52498,725,45,6016,656
0.47500000000000003,0.6,0.01332,0.9926,0.5186,725,45,6036,673
0.5,0.6,0.01069,0.99261,0.51491,725,45,6046,683
0.0,0.625,0.90053,0.0,1.0,712,42,0,0
0.025,0.625,0.74802,0.96456,0.98207,712,42,1143,13
0.05,0.625,0.56412,0.98343,0.92588,712,42,2493,57
