threshold_lower,threshold_upper,percentage rejected samples,specificity,sensitivity,TP,FP,TN,FN
0.0,0.5,98,0.0,1.0,78,82,0,0
0.025,0.5,98,0.0,1.0,78,82,0,0
0.05,0.5,98,0.0,1.0,78,82,0,0
0.07500000000000001,0.5,98,0.0,1.0,78,82,0,0
0.1,0.5,6,0.99,0.11,78,82,7409,618
0.125,0.5,3,0.99,0.1,78,82,7581,700
0.15000000000000002,0.5,2,0.99,0.1,78,82,7636,723
0.17500000000000002,0.5,2,0.99,0.1,78,82,7663,740
0.2,0.5,1,0.99,0.09,78,82,7687,752
0.225,0.5,1,0.99,0.09,78,82,7705,755
0.25,0.5,1,0.99,0.09,78,82,7713,762
0.275,0.5,1,0.99,0.09,78,82,7721,764
0.30000000000000004,0.5,1,0.99,0.09,78,82,7728,768
0.325,0.5,1,0.99,0.09,78,82,7736,774
0.35000000000000003,0.5,0,0.99,0.09,78,82,7747,781
0.375,0.5,0,0.99,0.09,78,82,7754,786
0.4,0.5,0,0.99,0.09,78,82,7757,787
0.42500000000000004,0.5,0,0.99,0.09,78,82,7759,788
0.45,0.5,0,0.99,0.09,78,82,7762,791
0.47500000000000003,0.5,0,0.99,0.09,78,82,7765,795
0.5,0.5,0,0.99,0.09,78,82,7766,798
0.0,0.525,98,0.0,1.0,72,76,0,0
0.025,0.525,98,0.0,1.0,72,76,0,0
0.05,0.525,98,0.0,1.0,72,76,0,0
0.07500000000000001,0.525,98,0.0,1.0,72,76,0,0
0.1,0.525,6,0.99,0.1,72,76,7409,618
0.125,0.525,3,0.99,0.09,72,76,7581,700
0.15000000000000002,0.525,2,0.99,0.09,72,76,7636,723
0.17500000000000002,0.525,2,0.99,0.09,72,76,7663,740
0.2,0.525,2,0.99,0.09,72,76,7687,752
0.225,0.525,1,0.99,0.09,72,76,7705,755
0.25,0.525,1,0.99,0.09,72,76,7713,762
0.275,0.525,1,0.99,0.09,72,76,7721,764
0.30000000000000004,0.525,1,0.99,0.09,72,76,7728,768
0.325,0.525,1,0.99,0.09,72,76,7736,774
0.35000000000000003,0.525,1,0.99,0.08,72,76,7747,781
0.375,0.525,0,0.99,0.08,72,76,7754,786
0.4,0.525,0,0.99,0.08,72,76,7757,787
0.42500000000000004,0.525,0,0.99,0.08,72,76,7759,788
0.45,0.525,0,0.99,0.08,72,76,7762,791
0.47500000000000003,0.525,0,0.99,0.08,72,76,7765,795
0.5,0.525,0,0.99,0.08,72,76,7766,798
0.0,0.55,98,0.0,1.0,64,70,0,0
0.025,0.55,98,0.0,1.0,64,70,0,0
0.05,0.55,98,0.0,1.0,64,70,0,0
0.07500000000000001,0.55,98,0.0,1.0,64,70,0,0
0.1,0.55,6,0.99,0.09,64,70,7409,618
0.125,0.55,4,0.99,0.08,64,70,7581,700
0.15000000000000002,0.55,3,0.99,0.08,64,70,7636,723
0.17500000000000002,0.55,2,0.99,0.08,64,70,7663,740
0.2,0.55,2,0.99,0.08,64,70,7687,752
0.225,0.55,1,0.99,0.08,64,70,7705,755
0.25,0.55,1,0.99,0.08,64,70,7713,762
0.275,0.55,1,0.99,0.08,64,70,7721,764
0.30000000000000004,0.55,1,0.99,0.08,64,70,7728,768
0.325,0.55,1,0.99,0.08,64,70,7736,774
0.35000000000000003,0.55,1,0.99,0.08,64,70,7747,781
0.375,0.55,1,0.99,0.08,64,70,7754,786
0.4,0.55,1,0.99,0.08,64,70,7757,787
0.42500000000000004,0.55,0,0.99,0.08,64,70,7759,788
0.45,0.55,0,0.99,0.07,64,70,7762,791
0.47500000000000003,0.55,0,0.99,0.07,64,70,7765,795
0.5,0.55,0,0.99,0.07,64,70,7766,798
0.0,0.575,99,0.0,1.0,61,66,0,0
0.025,0.575,99,0.0,1.0,61,66,0,0
0.05,0.575,99,0.0,1.0,61,66,0,0
0.07500000000000001,0.575,99,0.0,1.0,61,66,0,0
0.1,0.575,7,0.99,0.09,61,66,7409,618
0.125,0.575,4,0.99,0.08,61,66,7581,700
0.15000000000000002,0.575,3,0.99,0.08,61,66,7636,723
0.17500000000000002,0.575,2,0.99,0.08,61,66,7663,740
0.2,0.575,2,0.99,0.08,61,66,7687,752
0.225,0.575,2,0.99,0.07,61,66,7705,755
0.25,0.575,1,0.99,0.07,61,66,7713,762
0.275,0.575,1,0.99,0.07,61,66,7721,764
0.30000000000000004,0.575,1,0.99,0.07,61,66,7728,768
0.325,0.575,1,0.99,0.07,61,66,7736,774
0.35000000000000003,0.575,1,0.99,0.07,61,66,7747,781
0.375,0.575,1,0.99,0.07,61,66,7754,786
0.4,0.575,1,0.99,0.07,61,66,7757,787
0.42500000000000004,0.575,1,0.99,0.07,61,66,7759,788
0.45,0.575,1,0.99,0.07,61,66,7762,791
0.47500000000000003,0.575,0,0.99,0.07,61,66,7765,795
0.5,0.575,0,0.99,0.07,61,66,7766,798
0.0,0.6,99,0.0,1.0,56,63,0,0
0.025,0.6,99,0.0,1.0,56,63,0,0
0.05,0.6,99,0.0,1.0,56,63,0,0
0.07500000000000001,0.6,99,0.0,1.0,56,63,0,0
0.1,0.6,7,0.99,0.08,56,63,7409,618
0.125,0.6,4,0.99,0.07,56,63,7581,700
0.15000000000000002,0.6,3,0.99,0.07,56,63,7636,723
0.17500000000000002,0.6,2,0.99,0.07,56,63,7663,740
0.2,0.6,2,0.99,0.07,56,63,7687,752
0.225,0.6,2,0.99,0.07,56,63,7705,755
0.25,0.6,1,0.99,0.07,56,63,7713,762
0.275,0.6,1,0.99,0.07,56,63,7721,764
0.30000000000000004,0.6,1,0.99,0.07,56,63,7728,768
0.325,0.6,1,0.99,0.07,56,63,7736,774
0.35000000000000003,0.6,1,0.99,0.07,56,63,7747,781
0.375,0.6,1,0.99,0.07,56,63,7754,786
0.4,0.6,1,0.99,0.07,56,63,7757,787
0.42500000000000004,0.6,1,0.99,0.07,56,63,7759,788
0.45,0.6,1,0.99,0.07,56,63,7762,791
0.47500000000000003,0.6,1,0.99,0.07,56,63,7765,795
0.5,0.6,0,0.99,0.07,56,63,7766,798
0.0,0.625,99,0.0,1.0,53,60,0,0
0.025,0.625,99,0.0,1.0,53,60,0,0
0.05,0.625,99,0.0,1.0,53,60,0,0
0.07500000000000001,0.625,99,0.0,1.0,53,60,0,0
0.1,0.625,7,0.99,0.08,53,60,7409,618
0.125,0.625,4,0.99,0.07,53,60,7581,700
0.15000000000000002,0.625,3,0.99,0.07,53,60,7636,723
0.17500000000000002,0.625,2,0.99,0.07,53,60,7663,740
0.2,0.625,2,0.99,0.07,53,60,7687,752
0.225,0.625,2,0.99,0.07,53,60,7705,755
0.25,0.625,2,0.99,0.07,53,60,7713,762
0.275,0.625,1,0.99,0.06,53,60,7721,764
0.30000000000000004,0.625,1,0.99,0.06,53,60,7728,768
0.325,0.625,1,0.99,0.06,53,60,7736,774
0.35000000000000003,0.625,1,0.99,0.06,53,60,7747,781
0.375,0.625,1,0.99,0.06,53,60,7754,786
0.4,0.625,1,0.99,0.06,53,60,7757,787
0.42500000000000004,0.625,1,0.99,0.06,53,60,7759,788
0.45,0.625,1,0.99,0.06,53,60,7762,791
0.47500000000000003,0.625,1,0.99,0.06,53,60,7765,795
0.5,0.625,1,0.99,0.06,53,60,7766,798
0.0,0.65,99,0.0,1.0,53,57,0,0
0.025,0.65,99,0.0,1.0,53,57,0,0
0.05,0.65,99,0.0,1.0,53,57,0,0
0.07500000000000001,0.65,99,0.0,1.0,53,57,0,0
0.1,0.65,7,0.99,0.08,53,57,7409,618
0.125,0.65,4,0.99,0.07,53,57,7581,700
0.15000000000000002,0.65,3,0.99,0.07,53,57,7636,723
0.17500000000000002,0.65,2,0.99,0.07,53,57,7663,740
0.2,0.65,2,0.99,0.07,53,57,7687,752
0.225,0.65,2,0.99,0.07,53,57,7705,755
0.25,0.65,2,0.99,0.07,53,57,7713,762
0.275,0.65,1,0.99,0.06,53,57,7721,764
0.30000000000000004,0.65,1,0.99,0.06,53,57,7728,768
0.325,0.65,1,0.99,0.06,53,57,7736,774
0.35000000000000003,0.65,1,0.99,0.06,53,57,7747,781
0.375,0.65,1,0.99,0.06,53,57,7754,786
0.4,0.65,1,0.99,0.06,53,57,7757,787
0.42500000000000004,0.65,1,0.99,0.06,53,57,7759,788
0.45,0.65,1,0.99,0.06,53,57,7762,791
0.47500000000000003,0.65,1,0.99,0.06,53,57,7765,795
0.5,0.65,1,0.99,0.06,53,57,7766,798
0.0,0.675,99,0.0,1.0,52,55,0,0
0.025,0.675,99,0.0,1.0,52,55,0,0
0.05,0.675,99,0.0,1.0,52,55,0,0
0.07500000000000001,0.675,99,0.0,1.0,52,55,0,0
0.1,0.675,7,0.99,0.08,52,55,7409,618
0.125,0.675,4,0.99,0.07,52,55,7581,700
0.15000000000000002,0.675,3,0.99,0.07,52,55,7636,723
0.17500000000000002,0.675,2,0.99,0.07,52,55,7663,740
0.2,0.675,2,0.99,0.06,52,55,7687,752
0.225,0.675,2,0.99,0.06,52,55,7705,755
0.25,0.675,2,0.99,0.06,52,55,7713,762
0.275,0.675,2,0.99,0.06,52,55,7721,764
0.30000000000000004,0.675,1,0.99,0.06,52,55,7728,768
0.325,0.675,1,0.99,0.06,52,55,7736,774
0.35000000000000003,0.675,1,0.99,0.06,52,55,7747,781
0.375,0.675,1,0.99,0.06,52,55,7754,786
0.4,0.675,1,0.99,0.06,52,55,7757,787
0.42500000000000004,0.675,1,0.99,0.06,52,55,7759,788
0.45,0.675,1,0.99,0.06,52,55,7762,791
0.47500000000000003,0.675,1,0.99,0.06,52,55,7765,795
0.5,0.675,1,0.99,0.06,52,55,7766,798
0.0,0.7,99,0.0,1.0,49,53,0,0
0.025,0.7,99,0.0,1.0,49,53,0,0
0.05,0.7,99,0.0,1.0,49,53,0,0
0.07500000000000001,0.7,99,0.0,1.0,49,53,0,0
0.1,0.7,7,0.99,0.07,49,53,7409,618
0.125,0.7,4,0.99,0.07,49,53,7581,700
0.15000000000000002,0.7,3,0.99,0.06,49,53,7636,723
0.17500000000000002,0.7,3,0.99,0.06,49,53,7663,740
0.2,0.7,2,0.99,0.06,49,53,7687,752
0.225,0.7,2,0.99,0.06,49,53,7705,755
0.25,0.7,2,0.99,0.06,49,53,7713,762
0.275,0.7,2,0.99,0.06,49,53,7721,764
0.30000000000000004,0.7,1,0.99,0.06,49,53,7728,768
0.325,0.7,1,0.99,0.06,49,53,7736,774
0.35000000000000003,0.7,1,0.99,0.06,49,53,7747,781
0.375,0.7,1,0.99,0.06,49,53,7754,786
0.4,0.7,1,0.99,0.06,49,53,7757,787
0.42500000000000004,0.7,1,0.99,0.06,49,53,7759,788
0.45,0.7,1,0.99,0.06,49,53,7762,791
0.47500000000000003,0.7,1,0.99,0.06,49,53,7765,795
0.5,0.7,1,0.99,0.06,49,53,7766,798
0.0,0.725,99,0.0,1.0,45,46,0,0
0.025,0.725,99,0.0,1.0,45,46,0,0
