threshold_lower,threshold_upper,percentage rejected samples,specificity,sensitivity,TP,FP,TN,FN
0.0,0.5,98,0.0,1.0,65,107,0,0
0.025,0.5,80,0.93,0.51,65,107,1524,63
0.05,0.5,56,0.97,0.27,65,107,3404,174
0.07500000000000001,0.5,40,0.98,0.19,65,107,4768,273
0.1,0.5,30,0.98,0.15,65,107,5600,370
0.125,0.5,22,0.98,0.13,65,107,6156,447
0.15000000000000002,0.5,17,0.98,0.12,65,107,6582,490
0.17500000000000002,0.5,13,0.98,0.11,65,107,6889,547
0.2,0.5,10,0.99,0.1,65,107,7096,584
0.225,0.5,8,0.99,0.1,65,107,7239,614
0.25,0.5,6,0.99,0.09,65,107,7349,643
0.275,0.5,5,0.99,0.09,65,107,7439,671
0.30000000000000004,0.5,4,0.99,0.09,65,107,7503,692
0.325,0.5,3,0.99,0.08,65,107,7562,714
0.35000000000000003,0.5,3,0.99,0.08,65,107,7590,726
0.375,0.5,2,0.99,0.08,65,107,7624,740
0.4,0.5,2,0.99,0.08,65,107,7655,760
0.42500000000000004,0.5,1,0.99,0.08,65,107,7683,774
0.45,0.5,1,0.99,0.08,65,107,7705,788
0.47500000000000003,0.5,0,0.99,0.08,65,107,7723,799
0.5,0.5,0,0.99,0.07,65,107,7741,811
0.0,0.525,98,0.0,1.0,54,95,0,0
0.025,0.525,80,0.94,0.46,54,95,1524,63
0.05,0.525,56,0.97,0.24,54,95,3404,174
0.07500000000000001,0.525,41,0.98,0.17,54,95,4768,273
0.1,0.525,30,0.98,0.13,54,95,5600,370
0.125,0.525,23,0.98,0.11,54,95,6156,447
0.15000000000000002,0.525,17,0.99,0.1,54,95,6582,490
0.17500000000000002,0.525,13,0.99,0.09,54,95,6889,547
0.2,0.525,10,0.99,0.08,54,95,7096,584
0.225,0.525,8,0.99,0.08,54,95,7239,614
0.25,0.525,7,0.99,0.08,54,95,7349,643
0.275,0.525,5,0.99,0.07,54,95,7439,671
0.30000000000000004,0.525,4,0.99,0.07,54,95,7503,692
0.325,0.525,3,0.99,0.07,54,95,7562,714
0.35000000000000003,0.525,3,0.99,0.07,54,95,7590,726
0.375,0.525,2,0.99,0.07,54,95,7624,740
0.4,0.525,2,0.99,0.07,54,95,7655,760
0.42500000000000004,0.525,1,0.99,0.07,54,95,7683,774
0.45,0.525,1,0.99,0.06,54,95,7705,788
