threshold_lower,threshold_upper,percentage rejected samples,specificity,sensitivity,TP,FP,TN,FN
0.0,0.5,96,0.0,1.0,105,225,0,0
0.025,0.5,96,0.0,1.0,105,225,0,0
0.05,0.5,96,0.0,1.0,105,225,0,0
0.07500000000000001,0.5,27,0.96,0.18,105,225,5611,463
0.1,0.5,6,0.97,0.14,105,225,7186,644
0.125,0.5,4,0.97,0.13,105,225,7333,678
0.15000000000000002,0.5,3,0.97,0.13,105,225,7404,692
0.17500000000000002,0.5,3,0.97,0.13,105,225,7439,707
0.2,0.5,2,0.97,0.13,105,225,7468,715
0.225,0.5,2,0.97,0.13,105,225,7489,721
0.25,0.5,2,0.97,0.13,105,225,7502,727
0.275,0.5,2,0.97,0.13,105,225,7513,730
0.30000000000000004,0.5,2,0.97,0.12,105,225,7520,736
0.325,0.5,1,0.97,0.12,105,225,7534,741
0.35000000000000003,0.5,1,0.97,0.12,105,225,7548,746
0.375,0.5,1,0.97,0.12,105,225,7558,748
0.4,0.5,1,0.97,0.12,105,225,7565,750
0.42500000000000004,0.5,1,0.97,0.12,105,225,7582,752
0.45,0.5,0,0.97,0.12,105,225,7599,757
0.47500000000000003,0.5,0,0.97,0.12,105,225,7607,766
0.5,0.5,0,0.97,0.12,105,225,7623,771
0.0,0.525,97,0.0,1.0,98,203,0,0
0.025,0.525,97,0.0,1.0,98,203,0,0
0.05,0.525,97,0.0,1.0,98,203,0,0
0.07500000000000001,0.525,27,0.97,0.17,98,203,5611,463
0.1,0.525,7,0.97,0.13,98,203,7186,644
0.125,0.525,5,0.97,0.13,98,203,7333,678
0.15000000000000002,0.525,4,0.97,0.12,98,203,7404,692
0.17500000000000002,0.525,3,0.97,0.12,98,203,7439,707
0.2,0.525,3,0.97,0.12,98,203,7468,715
0.225,0.525,2,0.97,0.12,98,203,7489,721
0.25,0.525,2,0.97,0.12,98,203,7502,727
0.275,0.525,2,0.97,0.12,98,203,7513,730
0.30000000000000004,0.525,2,0.97,0.12,98,203,7520,736
0.325,0.525,2,0.97,0.12,98,203,7534,741
0.35000000000000003,0.525,1,0.97,0.12,98,203,7548,746
0.375,0.525,1,0.97,0.12,98,203,7558,748
0.4,0.525,1,0.97,0.12,98,203,7565,750
0.42500000000000004,0.525,1,0.97,0.12,98,203,7582,752
0.45,0.525,1,0.97,0.11,98,203,7599,757
0.47500000000000003,0.525,1,0.97,0.11,98,203,7607,766
0.5,0.525,0,0.97,0.11,98,203,7623,771
0.0,0.55,97,0.0,1.0,89,183,0,0
0.025,0.55,97,0.0,1.0,89,183,0,0
0.05,0.55,97,0.0,1.0,89,183,0,0
0.07500000000000001,0.55,27,0.97,0.16,89,183,5611,463
0.1,0.55,7,0.98,0.12,89,183,7186,644
0.125,0.55,5,0.98,0.12,89,183,7333,678
0.15000000000000002,0.55,4,0.98,0.11,89,183,7404,692
0.17500000000000002,0.55,4,0.98,0.11,89,183,7439,707
0.2,0.55,3,0.98,0.11,89,183,7468,715
0.225,0.55,3,0.98,0.11,89,183,7489,721
0.25,0.55,3,0.98,0.11,89,183,7502,727
0.275,0.55,2,0.98,0.11,89,183,7513,730
0.30000000000000004,0.55,2,0.98,0.11,89,183,7520,736
0.325,0.55,2,0.98,0.11,89,183,7534,741
0.35000000000000003,0.55,2,0.98,0.11,89,183,7548,746
0.375,0.55,2,0.98,0.11,89,183,7558,748
0.4,0.55,2,0.98,0.11,89,183,7565,750
0.42500000000000004,0.55,1,0.98,0.11,89,183,7582,752
0.45,0.55,1,0.98,0.11,89,183,7599,757
0.47500000000000003,0.55,1,0.98,0.1,89,183,7607,766
0.5,0.55,1,0.98,0.1,89,183,7623,771
0.0,0.575,98,0.0,1.0,76,137,0,0
0.025,0.575,98,0.0,1.0,76,137,0,0
0.05,0.575,98,0.0,1.0,76,137,0,0
0.07500000000000001,0.575,28,0.98,0.14,76,137,5611,463
0.1,0.575,8,0.98,0.11,76,137,7186,644
0.125,0.575,6,0.98,0.1,76,137,7333,678
0.15000000000000002,0.575,5,0.98,0.1,76,137,7404,692
0.17500000000000002,0.575,4,0.98,0.1,76,137,7439,707
0.2,0.575,4,0.98,0.1,76,137,7468,715
0.225,0.575,3,0.98,0.1,76,137,7489,721
0.25,0.575,3,0.98,0.09,76,137,7502,727
0.275,0.575,3,0.98,0.09,76,137,7513,730
0.30000000000000004,0.575,3,0.98,0.09,76,137,7520,736
0.325,0.575,3,0.98,0.09,76,137,7534,741
0.35000000000000003,0.575,2,0.98,0.09,76,137,7548,746
0.375,0.575,2,0.98,0.09,76,137,7558,748
0.4,0.575,2,0.98,0.09,76,137,7565,750
0.42500000000000004,0.575,2,0.98,0.09,76,137,7582,752
0.45,0.575,2,0.98,0.09,76,137,7599,757
0.47500000000000003,0.575,2,0.98,0.09,76,137,7607,766
0.5,0.575,1,0.98,0.09,76,137,7623,771
0.0,0.6,99,0.0,1.0,18,41,0,0
0.025,0.6,99,0.0,1.0,18,41,0,0
0.05,0.6,99,0.0,1.0,18,41,0,0
0.07500000000000001,0.6,30,0.99,0.04,18,41,5611,463
0.1,0.6,10,0.99,0.03,18,41,7186,644
0.125,0.6,7,0.99,0.03,18,41,7333,678
0.15000000000000002,0.6,7,0.99,0.03,18,41,7404,692
0.17500000000000002,0.6,6,0.99,0.02,18,41,7439,707
0.2,0.6,6,0.99,0.02,18,41,7468,715
0.225,0.6,5,0.99,0.02,18,41,7489,721
0.25,0.6,5,0.99,0.02,18,41,7502,727
0.275,0.6,5,0.99,0.02,18,41,7513,730
