threshold_lower,threshold_upper,percentage rejected samples,specificity,sensitivity,TP,FP,TN,FN
0.0,0.5,99,0.0,1.0,19,9,0,0
0.025,0.5,99,0.0,1.0,19,9,0,0
0.05,0.5,99,0.0,1.0,19,9,0,0
0.07500000000000001,0.5,67,0.99,0.14,19,9,1590,116
0.1,0.5,2,1.0,0.05,19,9,4783,389
0.125,0.5,1,1.0,0.05,19,9,4832,398
0.15000000000000002,0.5,1,1.0,0.05,19,9,4849,402
0.17500000000000002,0.5,1,1.0,0.04,19,9,4855,408
0.2,0.5,0,1.0,0.04,19,9,4861,409
0.225,0.5,0,1.0,0.04,19,9,4863,411
0.25,0.5,0,1.0,0.04,19,9,4865,412
0.275,0.5,0,1.0,0.04,19,9,4866,412
0.30000000000000004,0.5,0,1.0,0.04,19,9,4869,416
0.325,0.5,0,1.0,0.04,19,9,4870,416
0.35000000000000003,0.5,0,1.0,0.04,19,9,4870,417
0.375,0.5,0,1.0,0.04,19,9,4871,417
0.4,0.5,0,1.0,0.04,19,9,4871,417
0.42500000000000004,0.5,0,1.0,0.04,19,9,4872,417
0.45,0.5,0,1.0,0.04,19,9,4873,417
0.47500000000000003,0.5,0,1.0,0.04,19,9,4874,417
0.5,0.5,0,1.0,0.04,19,9,4874,418
0.0,0.525,99,0.0,1.0,19,9,0,0
0.025,0.525,99,0.0,1.0,19,9,0,0
0.05,0.525,99,0.0,1.0,19,9,0,0
0.07500000000000001,0.525,67,0.99,0.14,19,9,1590,116
0.1,0.525,2,1.0,0.05,19,9,4783,389
0.125,0.525,1,1.0,0.05,19,9,4832,398
0.15000000000000002,0.525,1,1.0,0.05,19,9,4849,402
0.17500000000000002,0.525,1,1.0,0.04,19,9,4855,408
0.2,0.525,0,1.0,0.04,19,9,4861,409
0.225,0.525,0,1.0,0.04,19,9,4863,411
0.25,0.525,0,1.0,0.04,19,9,4865,412
0.275,0.525,0,1.0,0.04,19,9,4866,412
0.30000000000000004,0.525,0,1.0,0.04,19,9,4869,416
0.325,0.525,0,1.0,0.04,19,9,4870,416
0.35000000000000003,0.525,0,1.0,0.04,19,9,4870,417
0.375,0.525,0,1.0,0.04,19,9,4871,417
0.4,0.525,0,1.0,0.04,19,9,4871,417
0.42500000000000004,0.525,0,1.0,0.04,19,9,4872,417
0.45,0.525,0,1.0,0.04,19,9,4873,417
0.47500000000000003,0.525,0,1.0,0.04,19,9,4874,417
0.5,0.525,0,1.0,0.04,19,9,4874,418
0.0,0.55,99,0.0,1.0,19,8,0,0
0.025,0.55,99,0.0,1.0,19,8,0,0
0.05,0.55,99,0.0,1.0,19,8,0,0
0.07500000000000001,0.55,67,0.99,0.14,19,8,1590,116
0.1,0.55,2,1.0,0.05,19,8,4783,389
0.125,0.55,1,1.0,0.05,19,8,4832,398
0.15000000000000002,0.55,1,1.0,0.05,19,8,4849,402
0.17500000000000002,0.55,1,1.0,0.04,19,8,4855,408
0.2,0.55,0,1.0,0.04,19,8,4861,409
0.225,0.55,0,1.0,0.04,19,8,4863,411
0.25,0.55,0,1.0,0.04,19,8,4865,412
0.275,0.55,0,1.0,0.04,19,8,4866,412
0.30000000000000004,0.55,0,1.0,0.04,19,8,4869,416
0.325,0.55,0,1.0,0.04,19,8,4870,416
0.35000000000000003,0.55,0,1.0,0.04,19,8,4870,417
0.375,0.55,0,1.0,0.04,19,8,4871,417
0.4,0.55,0,1.0,0.04,19,8,4871,417
0.42500000000000004,0.55,0,1.0,0.04,19,8,4872,417
0.45,0.55,0,1.0,0.04,19,8,4873,417
0.47500000000000003,0.55,0,1.0,0.04,19,8,4874,417
0.5,0.55,0,1.0,0.04,19,8,4874,418
0.0,0.575,99,0.0,1.0,19,8,0,0
0.025,0.575,99,0.0,1.0,19,8,0,0
0.05,0.575,99,0.0,1.0,19,8,0,0
0.07500000000000001,0.575,67,0.99,0.14,19,8,1590,116
0.1,0.575,2,1.0,0.05,19,8,4783,389
0.125,0.575,1,1.0,0.05,19,8,4832,398
0.15000000000000002,0.575,1,1.0,0.05,19,8,4849,402
0.17500000000000002,0.575,1,1.0,0.04,19,8,4855,408
0.2,0.575,0,1.0,0.04,19,8,4861,409
0.225,0.575,0,1.0,0.04,19,8,4863,411
0.25,0.575,0,1.0,0.04,19,8,4865,412
0.275,0.575,0,1.0,0.04,19,8,4866,412
0.30000000000000004,0.575,0,1.0,0.04,19,8,4869,416
0.325,0.575,0,1.0,0.04,19,8,4870,416
0.35000000000000003,0.575,0,1.0,0.04,19,8,4870,417
0.375,0.575,0,1.0,0.04,19,8,4871,417
0.4,0.575,0,1.0,0.04,19,8,4871,417
0.42500000000000004,0.575,0,1.0,0.04,19,8,4872,417
0.45,0.575,0,1.0,0.04,19,8,4873,417
0.47500000000000003,0.575,0,1.0,0.04,19,8,4874,417
0.5,0.575,0,1.0,0.04,19,8,4874,418
0.0,0.6,99,0.0,1.0,19,8,0,0
0.025,0.6,99,0.0,1.0,19,8,0,0
0.05,0.6,99,0.0,1.0,19,8,0,0
0.07500000000000001,0.6,67,0.99,0.14,19,8,1590,116
0.1,0.6,2,1.0,0.05,19,8,4783,389
0.125,0.6,1,1.0,0.05,19,8,4832,398
0.15000000000000002,0.6,1,1.0,0.05,19,8,4849,402
0.17500000000000002,0.6,1,1.0,0.04,19,8,4855,408
0.2,0.6,0,1.0,0.04,19,8,4861,409
0.225,0.6,0,1.0,0.04,19,8,4863,411
0.25,0.6,0,1.0,0.04,19,8,4865,412
0.275,0.6,0,1.0,0.04,19,8,4866,412
0.30000000000000004,0.6,0,1.0,0.04,19,8,4869,416
0.325,0.6,0,1.0,0.04,19,8,4870,416
