threshold_lower,threshold_upper,percentage rejected samples,specificity,sensitivity,TP,FP,TN,FN
0.0,0.5,97,0.0,1.0,83,65,0,0
0.025,0.5,97,0.0,1.0,83,65,0,0
0.05,0.5,97,0.0,1.0,83,65,0,0
0.07500000000000001,0.5,5,0.99,0.22,83,65,4587,295
0.1,0.5,3,0.99,0.21,83,65,4674,314
0.125,0.5,3,0.99,0.21,83,65,4706,320
0.15000000000000002,0.5,2,0.99,0.2,83,65,4730,323
0.17500000000000002,0.5,2,0.99,0.2,83,65,4745,325
0.2,0.5,2,0.99,0.2,83,65,4757,327
0.225,0.5,1,0.99,0.2,83,65,4764,333
0.25,0.5,1,0.99,0.2,83,65,4770,334
0.275,0.5,1,0.99,0.2,83,65,4783,335
0.30000000000000004,0.5,1,0.99,0.2,83,65,4786,336
0.325,0.5,1,0.99,0.2,83,65,4792,338
0.35000000000000003,0.5,1,0.99,0.2,83,65,4799,340
0.375,0.5,0,0.99,0.2,83,65,4805,342
0.4,0.5,0,0.99,0.19,83,65,4809,345
0.42500000000000004,0.5,0,0.99,0.19,83,65,4811,347
0.45,0.5,0,0.99,0.19,83,65,4814,348
0.47500000000000003,0.5,0,0.99,0.19,83,65,4817,351
0.5,0.5,0,0.99,0.19,83,65,4818,354
0.0,0.525,97,0.0,1.0,83,63,0,0
0.025,0.525,97,0.0,1.0,83,63,0,0
0.05,0.525,97,0.0,1.0,83,63,0,0
0.07500000000000001,0.525,5,0.99,0.22,83,63,4587,295
0.1,0.525,3,0.99,0.21,83,63,4674,314
0.125,0.525,3,0.99,0.21,83,63,4706,320
0.15000000000000002,0.525,2,0.99,0.2,83,63,4730,323
0.17500000000000002,0.525,2,0.99,0.2,83,63,4745,325
0.2,0.525,2,0.99,0.2,83,63,4757,327
0.225,0.525,1,0.99,0.2,83,63,4764,333
0.25,0.525,1,0.99,0.2,83,63,4770,334
0.275,0.525,1,0.99,0.2,83,63,4783,335
0.30000000000000004,0.525,1,0.99,0.2,83,63,4786,336
0.325,0.525,1,0.99,0.2,83,63,4792,338
0.35000000000000003,0.525,1,0.99,0.2,83,63,4799,340
0.375,0.525,1,0.99,0.2,83,63,4805,342
0.4,0.525,0,0.99,0.19,83,63,4809,345
0.42500000000000004,0.525,0,0.99,0.19,83,63,4811,347
0.45,0.525,0,0.99,0.19,83,63,4814,348
0.47500000000000003,0.525,0,0.99,0.19,83,63,4817,351
0.5,0.525,0,0.99,0.19,83,63,4818,354
0.0,0.55,97,0.0,1.0,82,60,0,0
0.025,0.55,97,0.0,1.0,82,60,0,0
0.05,0.55,97,0.0,1.0,82,60,0,0
0.07500000000000001,0.55,6,0.99,0.22,82,60,4587,295
0.1,0.55,4,0.99,0.21,82,60,4674,314
0.125,0.55,3,0.99,0.2,82,60,4706,320
0.15000000000000002,0.55,2,0.99,0.2,82,60,4730,323
0.17500000000000002,0.55,2,0.99,0.2,82,60,4745,325
0.2,0.55,2,0.99,0.2,82,60,4757,327
0.225,0.55,2,0.99,0.2,82,60,4764,333
0.25,0.55,1,0.99,0.2,82,60,4770,334
0.275,0.55,1,0.99,0.2,82,60,4783,335
0.30000000000000004,0.55,1,0.99,0.2,82,60,4786,336
0.325,0.55,1,0.99,0.2,82,60,4792,338
0.35000000000000003,0.55,1,0.99,0.19,82,60,4799,340
0.375,0.55,1,0.99,0.19,82,60,4805,342
0.4,0.55,0,0.99,0.19,82,60,4809,345
0.42500000000000004,0.55,0,0.99,0.19,82,60,4811,347
0.45,0.55,0,0.99,0.19,82,60,4814,348
0.47500000000000003,0.55,0,0.99,0.19,82,60,4817,351
0.5,0.55,0,0.99,0.19,82,60,4818,354
0.0,0.575,97,0.0,1.0,81,59,0,0
0.025,0.575,97,0.0,1.0,81,59,0,0
0.05,0.575,97,0.0,1.0,81,59,0,0
0.07500000000000001,0.575,6,0.99,0.22,81,59,4587,295
0.1,0.575,4,0.99,0.21,81,59,4674,314
0.125,0.575,3,0.99,0.2,81,59,4706,320
0.15000000000000002,0.575,2,0.99,0.2,81,59,4730,323
0.17500000000000002,0.575,2,0.99,0.2,81,59,4745,325
0.2,0.575,2,0.99,0.2,81,59,4757,327
0.225,0.575,2,0.99,0.2,81,59,4764,333
0.25,0.575,1,0.99,0.2,81,59,4770,334
0.275,0.575,1,0.99,0.19,81,59,4783,335
0.30000000000000004,0.575,1,0.99,0.19,81,59,4786,336
0.325,0.575,1,0.99,0.19,81,59,4792,338
0.35000000000000003,0.575,1,0.99,0.19,81,59,4799,340
0.375,0.575,1,0.99,0.19,81,59,4805,342
0.4,0.575,0,0.99,0.19,81,59,4809,345
0.42500000000000004,0.575,0,0.99,0.19,81,59,4811,347
0.45,0.575,0,0.99,0.19,81,59,4814,348
0.47500000000000003,0.575,0,0.99,0.19,81,59,4817,351
0.5,0.575,0,0.99,0.19,81,59,4818,354
