threshold_lower,threshold_upper,percentage rejected samples,specificity,sensitivity,TP,FP,TN,FN
0.0,0.5,96,0.0,1.0,142,114,0,0
0.025,0.5,65,0.95,0.61,142,114,2042,91
0.05,0.5,47,0.97,0.47,142,114,3182,158
0.07500000000000001,0.5,36,0.97,0.4,142,114,3900,213
0.1,0.5,28,0.97,0.36,142,114,4409,253
0.125,0.5,22,0.98,0.33,142,114,4781,287
0.15000000000000002,0.5,17,0.98,0.31,142,114,5079,322
0.17500000000000002,0.5,14,0.98,0.28,142,114,5271,360
0.2,0.5,11,0.98,0.27,142,114,5403,384
0.225,0.5,9,0.98,0.26,142,114,5527,404
0.25,0.5,7,0.98,0.25,142,114,5634,423
0.275,0.5,6,0.98,0.24,142,114,5702,447
0.30000000000000004,0.5,5,0.98,0.23,142,114,5759,476
0.325,0.5,4,0.98,0.22,142,114,5791,495
0.35000000000000003,0.5,3,0.98,0.22,142,114,5821,508
0.375,0.5,3,0.98,0.21,142,114,5851,525
0.4,0.5,2,0.98,0.21,142,114,5883,533
0.42500000000000004,0.5,1,0.98,0.21,142,114,5920,543
0.45,0.5,1,0.98,0.2,142,114,5942,561
0.47500000000000003,0.5,0,0.98,0.2,142,114,5963,575
0.5,0.5,0,0.98,0.2,142,114,5975,583
0.0,0.525,97,0.0,1.0,134,100,0,0
0.025,0.525,65,0.95,0.6,134,100,2042,91
0.05,0.525,48,0.97,0.46,134,100,3182,158
0.07500000000000001,0.525,36,0.98,0.39,134,100,3900,213
0.1,0.525,28,0.98,0.35,134,100,4409,253
0.125,0.525,22,0.98,0.32,134,100,4781,287
0.15000000000000002,0.525,17,0.98,0.29,134,100,5079,322
0.17500000000000002,0.525,14,0.98,0.27,134,100,5271,360
0.2,0.525,12,0.98,0.26,134,100,5403,384
0.225,0.525,10,0.98,0.25,134,100,5527,404
0.25,0.525,8,0.98,0.24,134,100,5634,423
0.275,0.525,6,0.98,0.23,134,100,5702,447
0.30000000000000004,0.525,5,0.98,0.22,134,100,5759,476
0.325,0.525,4,0.98,0.21,134,100,5791,495
0.35000000000000003,0.525,4,0.98,0.21,134,100,5821,508
0.375,0.525,3,0.98,0.2,134,100,5851,525
0.4,0.525,2,0.98,0.2,134,100,5883,533
0.42500000000000004,0.525,2,0.98,0.2,134,100,5920,543
0.45,0.525,1,0.98,0.19,134,100,5942,561
0.47500000000000003,0.525,1,0.98,0.19,134,100,5963,575
0.5,0.525,0,0.98,0.19,134,100,5975,583
0.0,0.55,97,0.0,1.0,124,81,0,0
0.025,0.55,66,0.96,0.58,124,81,2042,91
0.05,0.55,48,0.98,0.44,124,81,3182,158
0.07500000000000001,0.55,37,0.98,0.37,124,81,3900,213
0.1,0.55,28,0.98,0.33,124,81,4409,253
0.125,0.55,23,0.98,0.3,124,81,4781,287
0.15000000000000002,0.55,18,0.98,0.28,124,81,5079,322
0.17500000000000002,0.55,14,0.98,0.26,124,81,5271,360
0.2,0.55,12,0.99,0.24,124,81,5403,384
0.225,0.55,10,0.99,0.23,124,81,5527,404
0.25,0.55,8,0.99,0.23,124,81,5634,423
0.275,0.55,7,0.99,0.22,124,81,5702,447
0.30000000000000004,0.55,5,0.99,0.21,124,81,5759,476
0.325,0.55,5,0.99,0.2,124,81,5791,495
0.35000000000000003,0.55,4,0.99,0.2,124,81,5821,508
0.375,0.55,3,0.99,0.19,124,81,5851,525
0.4,0.55,3,0.99,0.19,124,81,5883,533
0.42500000000000004,0.55,2,0.99,0.19,124,81,5920,543
0.45,0.55,2,0.99,0.18,124,81,5942,561
0.47500000000000003,0.55,1,0.99,0.18,124,81,5963,575
0.5,0.55,1,0.99,0.18,124,81,5975,583
0.0,0.575,97,0.0,1.0,115,72,0,0
0.025,0.575,66,0.97,0.56,115,72,2042,91
0.05,0.575,48,0.98,0.42,115,72,3182,158
0.07500000000000001,0.575,37,0.98,0.35,115,72,3900,213
0.1,0.575,28,0.98,0.31,115,72,4409,253
0.125,0.575,23,0.99,0.29,115,72,4781,287
0.15000000000000002,0.575,18,0.99,0.26,115,72,5079,322
0.17500000000000002,0.575,15,0.99,0.24,115,72,5271,360
0.2,0.575,12,0.99,0.23,115,72,5403,384
0.225,0.575,10,0.99,0.22,115,72,5527,404
0.25,0.575,8,0.99,0.21,115,72,5634,423
0.275,0.575,7,0.99,0.2,115,72,5702,447
0.30000000000000004,0.575,6,0.99,0.19,115,72,5759,476
0.325,0.575,5,0.99,0.19,115,72,5791,495
0.35000000000000003,0.575,4,0.99,0.18,115,72,5821,508
0.375,0.575,4,0.99,0.18,115,72,5851,525
0.4,0.575,3,0.99,0.18,115,72,5883,533
0.42500000000000004,0.575,2,0.99,0.17,115,72,5920,543
