003376ac-cc01-4c67-bb8e-b9d9860a2b66;( - );( C );no peaks found ;<0;no peaks found ;<0;
00aa2ddb-1819-475c-85e6-ed39d6efe6bc;( +++ );( A );Staphylococcus aureus;2.34;Staphylococcus aureus;2.32;
00a34ab1-7a8f-4a3a-9815-1004ab3c6dd9;( +++ );( A );MIX!Staphylococcus saccharolyticus;2.4;Staphylococcus saccharolyticus;2.3;
00ad66f8-fb50-4d5c-8561-c92f563862b5;( ++ );( A );Enterococcus faecalis;2.24;Enterococcus faecalis;2.16;
0043f2aa-7a23-4a9a-a83b-9237a365fc88;( ++ );( A );Staphylococcus caprae;2.1;Staphylococcus caprae;2.08;
0077709d-351a-4d17-a121-1f9330baeded;( ++ );( A );Escherichia coli;2.25;Escherichia coli;2.25;
00c6e866-f9af-4960-831c-91290e13070f;( ++ );( A );Streptococcus gallolyticus;2.19;Streptococcus gallolyticus;1.94;
00f9faef-13bd-4ea5-a736-886ab03bba14;( + );( B );Staphylococcus epidermidis;1.95;Staphylococcus epidermidis;1.94;
0149d8f2-7dfb-4f39-8250-6e57cd4cbe25;( - );( C );not reliable identification;1.48;not reliable identification;1.41;
01b5bbf8-97d1-4373-8dbc-2f2d0745bed1;( - );( C );not reliable identification;1.35;not reliable identification;1.32;
01b70287-04b0-4715-b382-4befd064ec97;( +++ );( A );Staphylococcus aureus;2.4;Staphylococcus aureus;2.4;
01c9fbe7-9a80-4f41-855a-829263f45321;( - );( C );not reliable identification;1.42;not reliable identification;1.36;
01fb4a12-6fe9-4256-8e01-bac5479af14f;( +++ );( A );Streptococcus oralis;2.36;Streptococcus oralis;2.35;
02a8c3c6-103f-4ceb-8573-1442ce1fc7fa;( + );( B );Staphylococcus epidermidis;1.88;Staphylococcus epidermidis;1.86;
02ab6a84-2b80-4a61-af88-1eb109071a32;( +++ );( A );Staphylococcus simulans;2.35;Staphylococcus simulans;2.32;
02c0e949-1a0b-4b26-ae5d-a0d23b391e88;( +++ );( A );MIX!Staphylococcus epidermidis;2.42;Staphylococcus epidermidis;2.39;
02ff243e-b05b-4de6-983e-791e29b1b78e;( +++ );( B );Enterococcus avium;2.38;Enterococcus avium;2.37;
035b2346-00c2-41e0-aef4-90200d43448b;( +++ );( B );Escherichia coli;2.34;Escherichia coli;2.28;
038a518d-d906-420a-bb0f-d8f75f9d25e4;( ++ );( A );Staphylococcus epidermidis;2.17;Staphylococcus epidermidis;2.04;
04850331-91b6-4147-bf7b-034d37e59a7d;( ++ );( A );Staphylococcus epidermidis;2.18;Staphylococcus epidermidis;2.09;
04c90ab1-a470-446b-9263-6ad189072d3d;( ++ );( A );Candida glabrata;2.25;Candida glabrata;2.16;
