3cfdbdc6-cc33-4190-b283-a33892ac5a34;( +++ );( A );Alloscardovia omnicolens;2.44;Alloscardovia omnicolens;2.43;
6f2a3c74-9f44-4714-87af-39c5834f4457;( ++ );( A );Actinomyces odontolyticus;2.2;Actinomyces odontolyticus;2.12;
9f9e9e5a-7129-4137-b433-ad1e9c912985;( +++ );( A );Enterococcus faecium;2.46;Enterococcus faecium;2.24;
a7a63dbf-2155-4a04-94a1-5b09f3d74a41;( +++ );( A );Enterococcus faecalis;2.48;Enterococcus faecalis;2.34;
ba21c650-7ba8-4133-a1ab-918a1778db9f;( +++ );( A );Enterococcus faecium;2.52;Enterococcus faecium;2.31;
00bcd71f-e41f-4c3f-a00b-8fa7b4e2ea02;( + );( B );Proteus mirabilis;1.81;Proteus mirabilis;1.78;
786430a5-047d-4e0d-88c7-ff916e1df9df;( - );( C );not reliable identification;1.57;not reliable identification;1.52;
1852b8a7-949f-438d-8426-b768643dd7e0;( +++ );( A );Klebsiella pneumoniae;2.34;Klebsiella pneumoniae;2.34;
2932d9df-9fda-4fb7-b1fa-6d85be4d0953;( +++ );( A );Acinetobacter junii;2.35;Acinetobacter junii;2.35;
2c414a57-be51-4261-898d-09a4050beffd;( ++ );( A );Bacillus simplex;2.03;not reliable identification;1.68;
358ad797-8325-42fd-ab98-a7c09a27b1d6;( +++ );( A );Escherichia coli;2.52;Escherichia coli;2.51;
47800dc3-7b52-42bf-90dc-5cb21dd3f04b;( +++ );( A );Escherichia coli;2.36;Escherichia coli;2.33;
4b222124-bfab-4021-bfc9-1efac78a2bd1;( ++ );( A );Serratia marcescens;2.2;Serratia marcescens;2.18;
5a308fb3-02e7-4070-a35d-55223f1d5339;( ++ );( A );Streptococcus anginosus;2.07;Streptococcus anginosus;1.99;
5e11f33e-b1ba-4c4e-81f5-8fffdec53c79;( ++ );( A );Streptococcus anginosus;2.24;Streptococcus anginosus;2.1;
635c3d4a-bc0a-4e53-9228-63e336421bcc;( ++ );( A );Staphylococcus epidermidis;2.14;Staphylococcus epidermidis;2.12;
7dc030c7-698e-4a42-8fa4-f71e617e07a7;( +++ );( A );Escherichia coli;2.46;Escherichia coli;2.45;
896df6e7-adbd-44ff-81d5-7cfac1de9774;( +++ );( A );Staphylococcus aureus;2.36;Staphylococcus aureus;2.32;
8b0e18b0-fcdb-4ecb-8fe0-ee6d41798efe;( +++ );( A );Escherichia coli;2.44;Escherichia coli;2.31;
9c9f9bbf-864b-4e16-a41a-234203e30551;( ++ );( A );Streptococcus constellatus;2.23;Streptococcus constellatus;2.02;
95ce35dd-1bd9-4e5a-b9f8-ccc3b0225451;( +++ );( A );Enterococcus faecalis;2.46;Enterococcus faecalis;2.24;
a54ed00d-9e1c-41d1-91df-6761663896e0;( ++ );( A );Streptococcus constellatus;2.27;Streptococcus constellatus;2.17;
bb64dea4-38aa-45f8-aeb0-bb40263c23aa;( +++ );( A );Klebsiella variicola;2.45;Klebsiella variicola;2.43;
ad74a38a-dfa6-4644-8560-717e1de0b425;( +++ );( A );Enterococcus faecalis;2.47;Enterococcus faecalis;2.32;
cab8983d-8c6b-4446-9784-c75f931dbea0;( +++ );( A );MIX!Haemophilus parainfluenzae;2.59;Haemophilus parainfluenzae;2.44;
d15a7780-0fce-4508-9589-b42d00151dcc;( +++ );( A );Escherichia coli;2.46;Escherichia coli;2.39;
e2a66c4f-db8e-4252-a9f1-0ac7e90775e9;( +++ );( B );Citrobacter braakii;2.35;Citrobacter braakii;2.34;
f56a8aca-3b31-4dd2-9d0b-170f4d44b48c;( +++ );( A );Klebsiella variicola;2.39;Klebsiella variicola;2.39;
f85bce6b-1597-4592-9d29-4e2dad62ebe2;( +++ );( A );Enterococcus faecalis;2.46;Enterococcus faecalis;2.38;
016fc289-a728-4a23-98c9-3b46ac80bff1;( +++ );( B );Streptococcus oralis;2.35;Streptococcus oralis;2.22;
05402613-35d1-407d-b8af-bc8e175eb424;( ++ );( A );Staphylococcus epidermidis;2.09;Staphylococcus epidermidis;1.94;
152069a1-5719-47fc-883d-3096d29db54f;( ++ );( A );Staphylococcus epidermidis;2.12;Staphylococcus epidermidis;2;
59d54ce2-b3ab-4560-8e81-fa1bf5829eeb;( ++ );( A );Streptococcus constellatus;2.07;Streptococcus constellatus;1.84;
117911cf-a93e-42a0-a61b-daae2d510044;( +++ );( A );Streptococcus intermedius;2.35;Streptococcus intermedius;2.31;
69db3b31-1c89-4d84-8c00-7d34bd07fc7c;( + );( B );Staphylococcus epidermidis;1.99;Staphylococcus epidermidis;1.91;
a3b31edb-ca36-4a6b-a230-15400ccfe451;( ++ );( A );Staphylococcus epidermidis;2.11;Staphylococcus epidermidis;2.09;
a557481d-e813-4c3f-80b7-755b3d12d7c7;( +++ );( A );Staphylococcus lugdunensis;2.32;Staphylococcus lugdunensis;2.28;
bbaec383-b0df-45ad-8f6a-9809171d9237;( ++ );( A );Staphylococcus epidermidis;2.03;Staphylococcus epidermidis;1.96;
c2a34f89-08e4-462b-826d-2bce29574256;( + );( B );Staphylococcus epidermidis;1.94;Staphylococcus epidermidis;1.87;
cb28320c-d765-4b74-8469-04acf6c93afa;( ++ );( A );Staphylococcus epidermidis;2.11;Staphylococcus epidermidis;2.04;
d39b0562-f598-4ef8-b830-3285a8c40f2d;( ++ );( A );Staphylococcus epidermidis;2.1;Staphylococcus epidermidis;1.97;
d637096b-04d0-417d-bce6-7e8af22b90ac;( ++ );( A );Staphylococcus epidermidis;2.12;Staphylococcus epidermidis;2.07;
e1d44c46-f363-4864-a9b2-7845ae12e551;( + );( B );Staphylococcus epidermidis;1.95;Staphylococcus epidermidis;1.91;
f2c2649c-3335-46fb-b313-5615d3a2eff7;( ++ );( A );Staphylococcus epidermidis;2.05;Staphylococcus epidermidis;2.03;
19b72c6f-5c2c-44c3-a802-3d7d9adb0b43;( - );( C );not reliable identification;1.36;not reliable identification;1.35;
936a0090-26bf-4a8d-b926-500df3f3fc39;( +++ );( B );Citrobacter freundii;2.46;Citrobacter freundii;2.34;
0ea2f047-75c7-4bc4-ba4c-3cc9eb6d0399;( +++ );( A );Haemophilus influenzae;2.41;Haemophilus influenzae;2.36;
1718b244-68dc-4231-b510-c295e1d417e8;( +++ );( A );Pseudomonas aeruginosa;2.44;Pseudomonas aeruginosa;2.4;
19bfa67b-1d4d-4eed-8fe4-d3fe960bf278;( +++ );( A );Pseudomonas aeruginosa;2.4;Pseudomonas aeruginosa;2.35;
29f63a63-482e-4b1e-839e-a74acb1f86ba;( +++ );( A );Pseudomonas aeruginosa;2.38;Pseudomonas aeruginosa;2.34;
3a9c837e-5c4e-4100-80d3-fac1533cd873;( - );( C );no peaks found;< 0;no peaks found;< 0;
55701d21-8701-4ef8-bf14-d8e16d20e139;( +++ );( A );Haemophilus influenzae;2.39;Haemophilus influenzae;2.38;
8501d21c-b77b-4b83-9837-3e552c362c2a;( + );( B );Candida krusei;1.98;Candida krusei;1.96;
9f6feda1-34ae-4e1e-9bc1-0341934b0277;( +++ );( A );MIX!Haemophilus influenzae;2.67;Haemophilus influenzae;2.55;
b9e90e42-aef0-4a49-99f3-716635c9be43;( +++ );( B );Pseudomonas aeruginosa;2.38;Pseudomonas aeruginosa;2.29;
daccc4d2-0e91-4c6a-92cb-7759e3246dc0;( +++ );( A );Pseudomonas aeruginosa;2.38;Pseudomonas aeruginosa;2.37;
de58111f-14b4-4a4b-a84f-f9475cbad351;( +++ );( B );MIX!Neisseria sicca;2.38;Neisseria mucosa;2.37;
e3783b2c-fade-4565-b5cc-6b9de26ea19d;( ++ );( A );Candida albicans;2.14;Candida albicans;2.06;
ecd14315-e703-45f0-944d-05afe5b7f5dd;( +++ );( A );Pseudomonas aeruginosa;2.37;Pseudomonas aeruginosa;2.33;
1dca405d-97e2-4b24-bb73-3a98378c743e;( ++ );( A );Propionibacterium acnes;2.03;Propionibacterium acnes;2;
32f4eb79-ef2e-416e-a03a-9f2b38e17fc9;( + );( B );Prevotella melaninogenica;1.71;not reliable identification;1.63;
58934513-0c70-42a1-bcfb-e86746e0d107;( - );( C );not reliable identification;1.42;not reliable identification;1.31;
64c15b47-6a0e-42fa-b979-87baf5cf6211;( - );( C );not reliable identification;1.51;not reliable identification;1.43;
8772cc71-e921-4cda-bc23-a8a270b39458;( - );( C );not reliable identification;1.61;not reliable identification;1.59;
8cc19ebd-5bf7-4f18-81fa-d129d096427b;( + );( B );Prevotella melaninogenica;1.77;not reliable identification;1.6;
b7d2e5a1-2977-43b2-a002-5d7a22be8075;( ++ );( A );Propionibacterium avidum;2.1;Propionibacterium avidum;1.98;
c4e62650-eb9f-46e1-bdfa-e7f4b9bb827a;( ++ );( A );MIX!Prevotella melaninogenica;2.25;not reliable identification;1.69;
d39e4d2a-ff15-4007-9830-eb16e215753b;( + );( B );Propionibacterium avidum;1.99;Propionibacterium avidum;1.8;
f91123c7-5fc3-4f1a-b29d-cf2e0b92b582;( + );( B );Corynebacterium tuberculostearicum;1.8;not reliable identification;1.66;
abbe56af-ea71-442b-852b-0e463eccada1;( +++ );( A );Staphylococcus aureus;2.36;Staphylococcus aureus;2.33;
f5bc7b54-1007-4d28-adc3-ad5fac46419e;( +++ );( A );Staphylococcus aureus;2.43;Staphylococcus aureus;2.4;
1c77ceca-3269-4b44-bca0-4d7a92893e8f;( ++ );( A );Gardnerella vaginalis;2.05;Gardnerella vaginalis;2.03;
527a6cf9-79ad-46b5-9cb9-f5dc9a5ff5bb;( ++ );( A );Staphylococcus haemolyticus;2.22;Staphylococcus haemolyticus;1.95;
9263f741-62a2-45c3-b792-11602f21e2d6;( ++ );( A );Staphylococcus sp[1];2.13;Staphylococcus sp[1];1.72;
dca8685f-11a8-4ec8-81c6-72567f8439a3;( ++ );( A );Gardnerella vaginalis;2.28;Gardnerella sp;1.98;
1f0e028e-6065-48fa-8b7b-9ceb00233393;( +++ );( A );Proteus mirabilis;2.51;Proteus mirabilis;2.42;
76093aef-ff6a-4a83-aa27-41f127c7940a;( - );( C );not reliable identification;1.35;not reliable identification;1.34;
8d76a1a1-9dd9-4a6d-bce4-8c84f704ccc2;( + );( B );Streptococcus pyogenes;1.75;Streptococcus pyogenes;1.7;
9eea42e6-71a6-454b-95eb-ba23a1926c1b;( + );( B );Streptococcus pyogenes;1.75;not reliable identification;1.66;
def6f748-ce0c-4c54-a4a6-2a75e355d3df;( - );( C );no peaks found;< 0;no peaks found;< 0;
018a0048-c53d-4792-b03c-3f3705d7839a;( - );( C );not reliable identification;1.51;not reliable identification;1.28;
8a679b21-11f8-4d25-a298-5a947f10acc0;( - );( C );not reliable identification;1.34;not reliable identification;1.29;
027fcb46-ffc2-4667-a18f-68bbe258c01d;( - );( C );not reliable identification;1.34;not reliable identification;1.25;
b4d50035-fbff-4e92-a5b6-02342d1a82dc;( - );( C );not reliable identification;1.27;not reliable identification;1.25;
d4a3f04e-98e8-4a81-a879-82e69015bf95;( - );( C );not reliable identification;1.26;not reliable identification;1.16;
379a7454-6d43-4d67-8afe-b23c82b87903;( - );( C );not reliable identification;1.28;not reliable identification;1.27;
6a7c3da9-6f6a-4790-9965-291a3e8413db;( - );( C );not reliable identification;1.4;not reliable identification;1.36;
7d9bfebc-b821-4d6d-9a7a-02d154d36a78;( ++ );( A );Staphylococcus epidermidis;2.11;Staphylococcus epidermidis;1.96;
9430678b-9a9c-47df-9d72-e2c07c9c6b6c;( - );( C );not reliable identification;1.37;not reliable identification;1.3;
b242ddfa-2e55-4948-bd0a-75484187cf47;( +++ );( A );MIX!Prevotella veroralis;2.54;Prevotella veroralis;2.53;
01582a65-7c78-4108-b5e9-d979cef44d60;( ++ );( A );Staphylococcus epidermidis;2.22;Staphylococcus epidermidis;2.16;
0bf42404-1573-4849-8d8f-a9bb6df62765;( ++ );( A );Candida albicans;2.08;Candida albicans;2.04;
1e402d06-589f-403b-93f9-76763800f426;( + );( B );Staphylococcus epidermidis;1.96;Staphylococcus epidermidis;1.92;
