05271ad3-b73a-4c9f-aea2-d152e0083c62,( +++ ),( A ),Streptococcus anginosus,2.35,Streptococcus anginosus,2.3
053eec34-b28c-4704-9196-fbcae5ee9821,( +++ ),( B ),Escherichia coli,2.45,Escherichia coli,2.35
06fef76d-4f4b-4bda-941b-983a85312f58,( ++ ),( A ),Lactobacillus jensenii,2.03,Lactobacillus jensenii,1.99
0d9cea44-35a9-45c1-8503-d394d80daf6e,( +++ ),( A ),MIX!Bifidobacterium breve,2.56,Bifidobacterium breve,2.36
18216e42-1212-46e2-9eba-2be978750f8e,( ++ ),( A ),Lactobacillus jensenii,2.18,Lactobacillus jensenii,2.08
192c1100-7b4a-4f48-93a5-218f1b35dee9,( +++ ),( A ),Escherichia coli,2.36,Escherichia coli,2.31
2337fa05-a52f-43af-b228-f326e5327db7,( +++ ),( A ),Enterococcus faecalis,2.48,Enterococcus faecalis,2.44
2918ac35-069c-4a6e-af6c-f28d88747fe2,( +++ ),( A ),Gardnerella vaginalis,2.37,Gardnerella vaginalis,2.32
32c6d1d7-e16c-439b-b3c6-c528b6c82978,( ++ ),( A ),Candida tropicalis,2.25,Candida tropicalis,2.16
33cf7629-afd8-4483-82e6-ed4fca9487b3,( +++ ),( B ),Klebsiella pneumoniae,2.52,Klebsiella pneumoniae,2.46
364181ef-449a-45e3-baf5-1340ce6848f8,( +++ ),( B ),Klebsiella pneumoniae,2.41,Klebsiella pneumoniae,2.39
3dde0511-00dd-44d6-aaec-f6ce474d6811,( +++ ),( A ),Streptococcus agalactiae,2.34,Streptococcus agalactiae,2.31
4164a189-7e69-41da-8cd3-abfcf759f590,( +++ ),( A ),Escherichia coli,2.41,Escherichia coli,2.36
4454b3f9-933c-4c52-951b-35a12d2b14c0,( +++ ),( A ),Escherichia coli,2.44,Escherichia coli,2.42
53435234-252a-4f13-9e2a-c45b95e36363,( +++ ),( B ),Klebsiella pneumoniae,2.38,Klebsiella pneumoniae,2.35
5c642e5d-37e3-4f4d-b52e-100adf79e907,( +++ ),( B ),Klebsiella pneumoniae,2.51,Klebsiella pneumoniae,2.45
5e7ac188-546f-4548-b4aa-aa6040f6729d,( +++ ),( A ),Escherichia coli,2.54,Escherichia coli,2.45
6ca532aa-5d51-4877-837d-4daefbfd7991,( +++ ),( A ),MIX!Klebsiella pneumoniae,2.46,Klebsiella pneumoniae,2.18
75fc9bf8-2c40-4796-bec1-665f88ab54fc,( +++ ),( A ),Escherichia coli,2.53,Escherichia coli,2.46
796c7fb3-cc7d-441a-a146-b43929c79e13,( +++ ),( A ),Escherichia coli,2.42,Escherichia coli,2.28
7dc4f6d8-5658-458f-ac17-41c3995b3690,( - ),( C ),not reliable identification,1.61,not reliable identification,1.49
82427fa7-e8df-4bb0-b66e-1a8e8665fcd0,( +++ ),( A ),Streptococcus agalactiae,2.35,Streptococcus agalactiae,2.28
88099e31-2ebc-4e2d-8afd-cdd658caac51,( - ),( C ),not reliable identification,1.69,not reliable identification,1.67
96b72d81-56fb-40de-a156-14616294cb71,( +++ ),( A ),Enterococcus faecalis,2.39,Enterococcus faecalis,2.28
a449b947-a6ed-40e7-894d-523bd98803f6,( +++ ),( A ),Enterococcus faecalis,2.37,Enterococcus faecalis,2.33
c7668b75-4b62-49ea-bb36-b9b9d521b7e6,( +++ ),( B ),Klebsiella pneumoniae,2.49,Klebsiella pneumoniae,2.47
cadbb3f6-7a75-4340-a91b-3360c041c382,( +++ ),( A ),Candida tropicalis,2.31,Candida tropicalis,2.21
cb715604-f1a8-4872-b37e-f23a3f6745fc,( +++ ),( A ),Enterococcus faecalis,2.38,Enterococcus faecalis,2.36
d485d578-079c-4c6c-aa00-c1e2ce7750df,( ++ ),( A ),Lactobacillus crispatus,2.18,Lactobacillus crispatus,1.85
f2b7ed3d-67c7-49ce-845c-b2fa4098f695,( +++ ),( A ),Enterococcus faecalis,2.47,Enterococcus faecalis,2.39
02011695-53da-4748-a679-c11f6c5e07ba,( + ),( C ),Kluyvera ascorbata,1.94,Kluyvera georgiana,1.75
3f3dac8d-008c-4296-b795-c71d40cf4d1d,( - ),( C ),not reliable identification,1.58,not reliable identification,1.22
970b1c08-c68a-4b4a-9536-b727b7d362ab,( ++ ),( A ),Propionibacterium acnes,2.18,Propionibacterium acnes,2.13
065df3af-d107-4ac5-8fe4-81612a91c556,( +++ ),( A ),Rothia mucilaginosa,2.46,Rothia mucilaginosa,2.43
243a9760-c746-4bb8-874c-dcce333da6e2,( +++ ),( A ),Staphylococcus aureus,2.33,Staphylococcus aureus,2.31
24a7b8f9-6adc-43d1-b84d-19453b971620,( ++ ),( A ),Staphylococcus haemolyticus,2.27,Staphylococcus haemolyticus,2.2
2df71bd5-6275-4039-be56-8240b55d5f90,( ++ ),( A ),Staphylococcus aureus,2.26,Staphylococcus aureus,2.21
4ffe8c0e-258e-4c81-b468-b487e7317ffd,( ++ ),( A ),Staphylococcus aureus,2.27,Staphylococcus aureus,2.18
62326e71-c03d-4b9a-960b-ca8d17543bb8,( +++ ),( A ),Escherichia coli,2.43,Escherichia coli,2.37
6f628776-5daa-470e-ab49-11bba44d95d2,( +++ ),( C ),MIX!Staphylococcus epidermidis,2.39,Staphylococcus epidermidis,2.38
a3cc5a70-4bb2-454a-b139-1161b3308240,( +++ ),( A ),Escherichia coli,2.53,Escherichia coli,2.45
aba90af0-b3c8-4be9-98ac-67009b54f737,( +++ ),( A ),Escherichia coli,2.45,Escherichia coli,2.44
b72ea9ac-bb8c-4920-8af1-d3f97ba8b121,( +++ ),( C ),MIX!Staphylococcus aureus,2.46,Enterococcus faecalis,2.45
ce66a904-639a-4b5b-8877-1d87f67cd516,( +++ ),( A ),Escherichia coli,2.44,Escherichia coli,2.42
ef648efb-286d-4b6a-bbaa-cb30a84862ab,( ++ ),( A ),Staphylococcus aureus,2.23,Staphylococcus aureus,2.21
077dc8fb-a9e0-42ec-8d29-27539c551ee4,( ++ ),( A ),Pseudomonas pseudoalcaligenes,2.02,Pseudomonas composti,1.92
0af2de0e-7eb9-4f8d-a1dc-7c62da720189,( +++ ),( A ),Dermabacter hominis,2.45,Dermabacter hominis,2.28
1a631b3c-6b59-4e3b-b61c-48f80bcefacb,( ++ ),( A ),Staphylococcus epidermidis,2.19,Staphylococcus epidermidis,2.11
303ce1ca-a58a-42f8-baa8-fb9b96b55a33,( +++ ),( A ),Enterococcus faecium,2.57,Enterococcus faecium,2.42
3253c376-c29a-4aef-91ce-18b4ea1666cd,( ++ ),( A ),Gardnerella vaginalis,2.13,Gardnerella vaginalis,2.01
44dc9402-dabf-4d57-aea1-ecc6491ab31b,( +++ ),( A ),Haemophilus parainfluenzae,2.36,Haemophilus parainfluenzae,2.33
46d79e3a-2122-4cb4-9d52-2bafcdbed670,( ++ ),( A ),Staphylococcus epidermidis,2.18,Staphylococcus epidermidis,2.14
481de53a-a499-464d-a264-9e7673bdc2a3,( +++ ),( A ),Enterococcus faecalis,2.47,Enterococcus faecalis,2.4
517f2b2e-b54f-407e-817c-9a5f0e4d0673,( +++ ),( A ),Dermabacter hominis,2.4,Dermabacter hominis,2.36
51cffa64-5b03-499c-bd0f-adbc023383c1,( ++ ),( A ),Streptococcus oralis,2.21,Streptococcus oralis,2.15
61252dc6-3e62-4a4e-b327-1c3f78f401a2,( ++ ),( B ),Pseudomonas composti,2.2,Pseudomonas composti,2.17
62d91e7d-42d3-4b91-bd25-69880139bba7,( ++ ),( A ),Staphylococcus epidermidis,2.16,Staphylococcus epidermidis,2.09
