"brukercode","acquisition_date","acquisition_time"
"29b21820_98b9_4855_8855_362b0fc43fcc","2015-12-24","09:36:24"
"2e37346f_3231_49d6_906d_1c2658ae9acb","2015-12-24","09:37:34"
"5c3ff634_b46a_46a2_b051_35f084b9a16f","2015-12-24","09:42:22"
"9e5faf94_c906_48e9_9647_5cb4b31c49ae","2015-12-24","09:39:17"
"a230c600_bac6_4b03_b102_961964b6dbda","2015-12-24","09:40:52"
"a7e249ac_3957_499a_a687_5616f3f06a13","2015-12-24","09:41:20"
"aed7b8c7_90f2_4ea8_85d8_8934c44a3cf2","2015-12-24","09:36:52"
"e03a2ac7_1336_497c_830c_097060b631c7","2015-12-24","09:38:50"
"e77af2a2_eb38_4feb_a86b_09f884224ad4","2015-12-24","09:39:53"
"eacd8d44_c46b_4049_accc_e636efb28403","2015-12-24","09:41:55"
"ebe3e1f5_69c6_4652_855e_55aea446381f","2015-12-24","09:38:19"
"f2f6b81c_4002_4b37_bc03_2291bf54cd40","2015-12-24","09:40:24"
"61ca5c24_8cb1_471e_88e2_dee88cb432c6","2015-12-04","09:04:45"
"62691760_5fe4_410d_b36a_2c400efea4e8","2015-12-04","09:04:57"
"812335ff_9c4a_4c5d_99a6_27390e50fe0e","2015-12-04","09:05:24"
"9eecea89_79f0_4345_b282_0ab11f2228e8","2015-12-04","09:04:35"
"ac46c4ab_fa49_4a2a_b2b5_ed240f58ffac","2015-12-04","09:04:12"
"b0068d50_3d84_4cb0_a1f2_7a0ee372f96a","2015-12-04","09:04:23"
"b9d7fea7_6113_49ca_b69d_f8c9083c7386","2015-12-04","09:05:13"
"bd77310a_87c4_4a57_a744_10da07c8c528","2015-12-04","09:05:06"
"0183eabf_2db4_45eb_a05f_e43f11ffb7cb","2015-12-02","12:46:39"
"09e4e913_e2b7_4a68_984a_2ffe0cca8d2d","2015-12-02","12:44:26"
"0a74a2e2_d0f8_4104_8659_7ca1fc245901","2015-12-02","12:44:43"
"0b063a2e_4745_4915_9d34_d3e671989bed","2015-12-02","12:45:59"
"3f71c1a3_2829_4855_92e9_6b54df4e38ac","2015-12-02","12:46:07"
"3f77f6d2_be09_488b_b818_1f1c3cda19a0","2015-12-02","12:46:17"
"3fb4950e_99a2_4f9a_b51f_78f8871d72c8","2015-12-02","12:46:22"
"3febcc15_4590_4e26_90e3_a4ed3ddc69e5","2015-12-02","12:45:17"
"4284bcd6_fe4d_4330_852d_de11f6e9c5ba","2015-12-02","12:45:31"
"4b611534_2f4c_4e33_8054_cf47c68d159d","2015-12-02","12:46:11"
"5486cee2_78b5_4e0a_876d_8b9e89b37b8e","2015-12-02","12:47:11"
"62daccd6_a5de_4909_8731_d4990d322f54","2015-12-02","12:46:55"
"645b93bf_7498_48f4_ad30_4fc24da23e5a","2015-12-02","12:47:07"
"6f30deb4_743b_459e_b433_191d357811d2","2015-12-02","12:44:35"
"9b488526_3978_4d3f_aaf7_63f65a162d67","2015-12-02","12:45:46"
"da0ec361_5a52_4a67_8b2c_5992fe84af9b","2015-12-02","12:46:30"
"f6a0f031_e9de_43b3_a3f0_f11474039080","2015-12-02","12:46:47"
"f7a45c90_ad96_4f05_9bbd_842d92769ed1","2015-12-02","12:45:35"
"040810ab_1ed0_4ea0_8eda_beee0e11f30f","2015-11-18","12:51:19"
"0693b1a3_9f4e_4ec1_b375_4437293f5e0f","2015-11-18","08:54:21"
"09200e36_ae41_4901_961f_6c62cf342741","2015-11-18","08:54:47"
"15b576f2_6e48_47d2_8fd8_5bf1c8a1fcc2","2015-11-18","08:51:00"
"29e908c9_7f21_46bb_8ba7_43a38952bec2","2015-11-18","08:50:26"
"2c856245_66f6_44a1_b917_7329231a8508","2015-11-18","08:51:20"
"76984d07_5945_417e_9572_fa2370b0520b","2015-11-18","08:52:56"
"b2d5056c_c0e4_4bc2_b047_099375a9a86f","2015-11-18","08:52:28"
"c0a1a736_1d83_42c0_8df3_a1ce330d31c9","2015-11-18","08:53:15"
"d3e0e23f_954e_4572_8320_4d6208e0f9bb","2015-11-18","08:53:32"
"d92edb71_df0a_40d9_9d63_9fd92e67a71a","2015-11-18","08:55:14"
"f41c243f_1fe5_4cee_86ff_673c71a6ad7f","2015-11-18","08:52:08"
"f5f90939_a03c_4a98_8393_8fb195eb702f","2015-11-18","08:53:57"
"fc10949b_484a_48a9_b742_554cb6bee632","2015-11-18","08:51:39"
"8c55a970_eb93_411d_8a70_35068997e262","2015-12-21","13:52:05"
"67d4e9ee_df52_4500_aa51_641e3246d8e7","2015-12-07","10:47:33"
"a4c6f1f4_ddca_4e77_97bd_557da3999039","2015-12-07","10:47:41"
"fc47af31_1a78_4372_86b8_46083e09dbfa","2015-12-07","10:47:37"
"16cdf5fc_7202_4520_89a4_de37f53aff40","2015-12-16","10:59:49"
"216deb1b_46a7_4e2d_a20a_130c2fffe113","2015-12-16","10:59:05"
"3024ab93_e6f4_4d7e_b04c_dc4cf945b5db","2015-12-16","10:59:57"
"32ed5e4c_a19b_4e60_a715_c0460dc5af06","2015-12-16","11:00:36"
"4043589e_f84f_4efe_bc22_7d3296db0d14","2015-12-16","11:00:55"
"610845aa_bb8c_4011_891d_850f401953bc","2015-12-16","11:00:28"
"64c5e0f4_7bef_48f7_89f6_8a07ac0fca7e","2015-12-16","10:59:43"
"a0ab186b_e175_44cb_a8f1_f89e96c406c0","2015-12-16","10:59:11"
"c67df24f_cf7a_483f_b012_e5f79a05e5bb","2015-12-16","11:00:32"
"d0dd5a70_70bf_41fc_93e0_e7757cc7eaa3","2015-12-16","11:00:45"
"d596126d_50d4_47ff_b3ed_1d6c57680dff","2015-12-16","11:00:09"
"e8adbc1f_dbbb_45fd_868f_555b367646cd","2015-12-16","11:01:16"
"ebe69e4e_48cf_44e9_b749_829fb4df05d1","2015-12-16","11:00:19"
"ee065b16_0769_4726_923b_08088a76b53d","2015-12-16","11:01:09"
"47adc7db_66f6_4e74_bad9_666a78fc7931","2015-12-11","11:21:18"
"0abae0b3_319b_46f6_b87e_07dc4177d06b","2015-12-11","12:59:34"
"1c745be8_af2f_4937_8b69_ceb296e17d9e","2015-12-11","12:57:09"
"bd505f51_20f3_4661_89e8_9c30a45f5fc7","2015-12-11","13:01:56"
"01cdcf54_3e85_4202_acb2_3e1ab501e1f8","2015-11-19","14:40:09"
"08797df9_06c2_450b_9fd8_1a00f4521394","2015-11-19","14:40:37"
"38dc914c_b9df_4c2e_9315_acec1faadd16","2015-11-19","14:40:47"
"48070542_15af_471e_904a_624827386f0a","2015-11-19","14:40:34"
"4b245733_d450_40ab_a127_b17ef6cf2df8","2015-11-19","14:40:13"
"80a94934_a38d_4ab7_af90_6a2f7cafeb91","2015-11-19","14:40:20"
"ac257273_d49a_49de_ac24_207beb5500dd","2015-11-19","14:40:42"
"bc8c0c67_f058_4374_87ff_fad09e4fbc68","2015-11-19","14:40:29"
"d568837d_194e_438a_aedc_946056723bf1","2015-11-19","14:40:17"
"1e372f83_8991_4ea9_84d3_9a01875d8569","2015-11-27","11:07:50"
"0fc0c283_9be2_4219_b1c0_cd301e578ea4","2015-12-21","14:01:37"
"1b53f9c3_d468_464f_974b_b1d77bd7f124","2015-12-21","14:01:54"
"90b4bc47_c6df_400a_9038_50d235a053f5","2015-12-21","14:01:32"
"0eecdb2e_d315_4f9d_aae8_6f49370256a2","2015-12-11","12:22:25"
"57fae08c_71b3_4c98_880b_512b3cbf4c05","2015-12-11","12:20:42"
"013447c7_e93c_411b_ac61_fb590395b31f","2015-12-04","11:28:17"
"4bc51bcf_36c1_4cd9_89f0_f7716d356811","2015-12-04","11:28:31"
"9e0cddeb_d6e4_4c89_840d_6d75bdedd119","2015-12-04","11:27:51"
"20ac23b5_788d_4049_be83_07d9d0e840ea","2015-12-15","15:59:08"
"4964babf_b90b_47d9_a040_c401ee5160ba","2015-12-15","15:59:01"
"9422cf3a_9a6f_41cb_8ce5_1b7f891bfdd4","2015-12-15","15:58:53"
"97b410b5_a2e9_43c1_bd0d_59b0ff5bf2c4","2015-12-15","15:58:09"
"d066bd21_e752_4612_8148_822a696b01a2","2015-12-15","15:58:00"
"e7693a40_9b26_4030_9f3f_5bea66cf1a8f","2015-12-15","15:58:32"
"4e2e8096_30d1_4e35_9f72_2902c2894e72","2015-11-22","09:43:38"
"57bfee3d_dab4_4469_bb81_1e26a11cbffd","2015-11-22","09:42:19"
"c5d7d514_44c3_456c_8c2c_bdd61c419a9b","2015-11-22","09:43:06"
"20fe15b9_96cd_420a_9071_02e3d3f30728","2015-12-16","09:02:37"
"4ed7768c_1063_4820_8483_7d0dd5b1e2a6","2015-12-16","09:03:44"
"d06d6357_1489_434b_a550_6d4db20a3b4d","2015-12-16","09:02:42"
"de2580ac_c43d_4a92_a8a0_703e84268972","2015-12-16","09:03:05"
"20de0ae2_988c_49ff_8097_ebfa05756375","2015-11-25","13:13:54"
"809cb3b0_3366_4baa_99f0_6f86e67d2208","2015-11-25","13:10:13"
"c48d23ba_3c32_431b_9449_b45fa1851e65","2015-11-25","13:11:52"
"18dc108b_1ce4_4ea3_8ed2_ed6e1f82567b","2015-12-09","12:49:47"
