mean_feature_weights,std_feature_weights,rank,bin_start,bin_end
11.4,11.594826432508595,16,2000,2003
0.8,1.661324772583615,567,2003,2006
0.6,0.8,905,2006,2009
0.7,0.7810249675906655,690,2009,2012
0.1,0.30000000000000004,4341,2012,2015
0.5,1.02469507659596,1238,2015,2018
0.3,0.45825756949558405,2321,2018,2021
0.5,1.2041594578792296,1238,2021,2024
0.0,0.0,5432,2024,2027
0.6,0.9165151389911681,905,2027,2030
0.8,0.9797958971132713,567,2030,2033
0.9,0.8306623862918076,480,2033,2036
0.5,1.2041594578792296,1238,2036,2039
0.0,0.0,5432,2039,2042
0.4,0.66332495807108,1678,2042,2045
0.6,0.4898979485566356,905,2045,2048
1.1,1.445683229480096,366,2048,2051
0.6,1.0198039027185568,905,2051,2054
0.0,0.0,5432,2054,2057
0.6,0.8,905,2057,2060
0.3,0.6403124237432849,2321,2060,2063
0.3,0.45825756949558405,2321,2063,2066
0.5,0.806225774829855,1238,2066,2069
0.1,0.30000000000000004,4341,2069,2072
0.2,0.4000000000000001,3278,2072,2075
0.0,0.0,5432,2075,2078
0.2,0.4000000000000001,3278,2078,2081
1.1,1.1357816691600546,366,2081,2084
1.9,1.9209372712298547,180,2084,2087
0.5,0.9219544457292888,1238,2087,2090
0.2,0.4000000000000001,3278,2090,2093
0.3,0.6403124237432848,2321,2093,2096
2.9,3.7802116342871597,102,2096,2099
2.0,3.7682887362833544,162,2099,2102
0.2,0.6000000000000001,3278,2102,2105
0.3,0.6403124237432849,2321,2105,2108
0.4,0.66332495807108,1678,2108,2111
1.4,2.7276363393971708,266,2111,2114
2.8,5.758472019555187,107,2114,2117
0.2,0.4000000000000001,3278,2117,2120
0.1,0.30000000000000004,4341,2120,2123
0.1,0.30000000000000004,4341,2123,2126
0.6,0.9165151389911681,905,2126,2129
1.8,3.815756805667783,193,2129,2132
0.2,0.4000000000000001,3278,2132,2135
1.0,1.1832159566199232,421,2135,2138
0.1,0.30000000000000004,4341,2138,2141
0.4,0.66332495807108,1678,2141,2144
0.2,0.4000000000000001,3278,2144,2147
0.7,1.268857754044952,690,2147,2150
0.2,0.4000000000000001,3278,2150,2153
0.6,0.8,905,2153,2156
0.4,0.9165151389911681,1678,2156,2159
0.2,0.6000000000000001,3278,2159,2162
2.0,2.756809750418044,162,2162,2165
2.5,4.6097722286464435,123,2165,2168
0.7,0.7810249675906654,690,2168,2171
0.9,1.2206555615733705,480,2171,2174
0.1,0.30000000000000004,4341,2174,2177
1.1,1.044030650891055,366,2177,2180
0.2,0.4000000000000001,3278,2180,2183
0.3,0.6403124237432848,2321,2183,2186
0.6,1.1999999999999997,905,2186,2189
0.7,1.004987562112089,690,2189,2192
0.2,0.4000000000000001,3278,2192,2195
0.3,0.45825756949558405,2321,2195,2198
0.2,0.4000000000000001,3278,2198,2201
1.7,3.5791060336346563,205,2201,2204
0.1,0.30000000000000004,4341,2204,2207
0.3,0.45825756949558405,2321,2207,2210
2.9,3.3896902513356584,102,2210,2213
0.2,0.4000000000000001,3278,2213,2216
0.3,0.45825756949558394,2321,2216,2219
0.3,0.45825756949558405,2321,2219,2222
0.3,0.45825756949558405,2321,2222,2225
0.2,0.4000000000000001,3278,2225,2228
1.2,2.039607805437114,336,2228,2231
0.4,0.66332495807108,1678,2231,2234
0.2,0.6000000000000001,3278,2234,2237
1.6,1.9078784028338915,224,2237,2240
0.0,0.0,5432,2240,2243
0.5,0.5,1238,2243,2246
0.3,0.6403124237432849,2321,2246,2249
0.1,0.30000000000000004,4341,2249,2252
0.1,0.30000000000000004,4341,2252,2255
0.4,0.66332495807108,1678,2255,2258
0.6,0.9165151389911679,905,2258,2261
0.4,0.66332495807108,1678,2261,2264
0.2,0.4000000000000001,3278,2264,2267
0.4,0.66332495807108,1678,2267,2270
0.5,0.6708203932499369,1238,2270,2273
0.3,0.9000000000000001,2321,2273,2276
0.5,0.6708203932499369,1238,2276,2279
0.3,0.45825756949558394,2321,2279,2282
1.3,1.6155494421403513,297,2282,2285
0.6,0.6633249580710799,905,2285,2288
0.1,0.30000000000000004,4341,2288,2291
0.1,0.30000000000000004,4341,2291,2294
0.0,0.0,5432,2294,2297
0.8,1.661324772583615,567,2297,2300
0.2,0.4000000000000001,3278,2300,2303
0.5,0.806225774829855,1238,2303,2306
0.2,0.4000000000000001,3278,2306,2309
0.1,0.30000000000000004,4341,2309,2312
0.1,0.30000000000000004,4341,2312,2315
0.3,0.6403124237432848,2321,2315,2318
0.1,0.30000000000000004,4341,2318,2321
1.6,3.852272056851645,224,2321,2324
1.7,3.7960505792204615,205,2324,2327
0.3,0.45825756949558394,2321,2327,2330
0.5,0.5,1238,2330,2333
0.0,0.0,5432,2333,2336
0.1,0.30000000000000004,4341,2336,2339
0.6,1.2806248474865696,905,2339,2342
0.4,0.66332495807108,1678,2342,2345
0.9,0.7000000000000001,480,2345,2348
0.7,0.6403124237432849,690,2348,2351
0.1,0.30000000000000004,4341,2351,2354
0.7,0.7810249675906654,690,2354,2357
0.3,0.45825756949558405,2321,2357,2360
0.3,0.6403124237432848,2321,2360,2363
0.3,0.6403124237432849,2321,2363,2366
0.1,0.30000000000000004,4341,2366,2369
0.0,0.0,5432,2369,2372
5.0,7.238784428341543,46,2372,2375
0.2,0.4000000000000001,3278,2375,2378
0.6,1.0198039027185568,905,2378,2381
0.1,0.30000000000000004,4341,2381,2384
0.2,0.4000000000000001,3278,2384,2387
0.5,0.9219544457292888,1238,2387,2390
0.2,0.4000000000000001,3278,2390,2393
0.2,0.4000000000000001,3278,2393,2396
0.4,0.9165151389911681,1678,2396,2399
0.3,0.45825756949558405,2321,2399,2402
0.3,0.45825756949558405,2321,2402,2405
0.0,0.0,5432,2405,2408
0.1,0.30000000000000004,4341,2408,2411
0.1,0.30000000000000004,4341,2411,2414
0.2,0.4000000000000001,3278,2414,2417
0.1,0.30000000000000004,4341,2417,2420
0.6,0.9165151389911681,905,2420,2423
0.2,0.4,3278,2423,2426
1.9,5.374941860150676,180,2426,2429
0.0,0.0,5432,2429,2432
0.1,0.30000000000000004,4341,2432,2435
0.0,0.0,5432,2435,2438
0.0,0.0,5432,2438,2441
0.5,0.9219544457292888,1238,2441,2444
0.1,0.30000000000000004,4341,2444,2447
0.3,0.45825756949558394,2321,2447,2450
0.2,0.4000000000000001,3278,2450,2453
0.3,0.45825756949558405,2321,2453,2456
0.2,0.4000000000000001,3278,2456,2459
0.3,0.45825756949558405,2321,2459,2462
0.9,1.3,480,2462,2465
1.3,1.1874342087037917,297,2465,2468
0.8,1.5362291495737217,567,2468,2471
0.9,1.1357816691600549,480,2471,2474
0.3,0.6403124237432848,2321,2474,2477
0.2,0.4000000000000001,3278,2477,2480
1.0,2.3664319132398464,421,2480,2483
0.3,0.45825756949558394,2321,2483,2486
0.5,0.5,1238,2486,2489
0.5,1.2041594578792296,1238,2489,2492
0.1,0.30000000000000004,4341,2492,2495
0.1,0.30000000000000004,4341,2495,2498
0.2,0.4000000000000001,3278,2498,2501
0.3,0.45825756949558405,2321,2501,2504
0.6,1.4966629547095767,905,2504,2507
1.3,1.4177446878757827,297,2507,2510
1.2,2.6381811916545836,336,2510,2513
0.5,1.02469507659596,1238,2513,2516
0.8,1.2489995996796797,567,2516,2519
0.4,0.48989794855663565,1678,2519,2522
0.1,0.30000000000000004,4341,2522,2525
0.6,0.8,905,2525,2528
0.5,0.6708203932499369,1238,2528,2531
0.8,0.9797958971132714,567,2531,2534
1.2,0.9797958971132712,336,2534,2537
0.5,0.9219544457292888,1238,2537,2540
0.4,0.66332495807108,1678,2540,2543
0.3,0.6403124237432849,2321,2543,2546
0.5,0.9219544457292888,1238,2546,2549
0.1,0.30000000000000004,4341,2549,2552
0.0,0.0,5432,2552,2555
0.4,0.66332495807108,1678,2555,2558
0.2,0.4000000000000001,3278,2558,2561
0.4,0.9165151389911681,1678,2561,2564
0.1,0.30000000000000004,4341,2564,2567
0.8,1.5362291495737217,567,2567,2570
0.1,0.30000000000000004,4341,2570,2573
0.4,0.48989794855663565,1678,2573,2576
0.5,0.806225774829855,1238,2576,2579
1.8,4.749736834815167,193,2579,2582
0.2,0.4000000000000001,3278,2582,2585
0.0,0.0,5432,2585,2588
0.3,0.45825756949558405,2321,2588,2591
0.6,1.2,905,2591,2594
0.2,0.4000000000000001,3278,2594,2597
0.3,0.6403124237432848,2321,2597,2600
0.0,0.0,5432,2600,2603
0.2,0.6000000000000001,3278,2603,2606
2.0,3.0983866769659336,162,2606,2609
0.4,0.48989794855663565,1678,2609,2612
0.3,0.45825756949558394,2321,2612,2615
